ticker,industry,industryEn,exchange,noShareholders,foreignPercent,outstandingShare,issueShare,establishedYear,noEmployees,shortName,website,shareHolder_OwnPercent,companyProfile,historyDev,companyPromise,businessRisk,keyDevelopments,businessStrategies
GVT,Tài nguyên Cơ bản,Basic Resources,UPCOM,574,0.0,11.6,11.6,2008.0,461,Giấy Việt Trì,http://www.giayviettri.com,"[{'Nguyễn Hồng Đức': 0.0844}, {'Phạm Đức Hòa': 0.0833}, {'Lê Xuân Lương': 0.0806}, {'NGUYỄN VĂN HIỆN': 0.0721}, {'Lê Thị Minh Loan': 0.0668}, {'Nguyễn Thị Hồng Nhung': 0.0612}, {'Đoàn Thế Rong': 0.0543}, {'Nguyễn Thanh Sơn': 0.0534}, {'Đặng Văn Sơn': 0.0302}, {'Khác': 0.1203}]",,,,,,
GVT,Tài nguyên Cơ bản,Basic Resources,UPCOM,574,0.0,11.6,11.6,2008.0,461,Giấy Việt Trì,http://www.giayviettri.com,"[{'Nguyễn Hồng Đức': 0.0844}, {'Phạm Đức Hòa': 0.0833}, {'Lê Xuân Lương': 0.0806}, {'NGUYỄN VĂN HIỆN': 0.0721}, {'Lê Thị Minh Loan': 0.0668}, {'Nguyễn Thị Hồng Nhung': 0.0612}, {'Đoàn Thế Rong': 0.0543}, {'Nguyễn Thanh Sơn': 0.0534}, {'Đặng Văn Sơn': 0.0302}, {'Khác': 0.1203}]",,,,,,
GVR,Hóa chất,Chemicals,HOSE,0,0.003,4000.0,4000.0,2010.0,224,Tập đoàn CN Cao su VN,https://vnrubbergroup.com,"[{'Nhà nước': 0.9677}, {'Trần Ngọc Thuận': 0.0001}, {'Phạm Văn Thành': 0.0001}, {'Nguyễn Cửu Tuệ': 0.0001}, {'Khác': 0.0063}]",,,,,,
GVR,Hóa chất,Chemicals,HOSE,0,0.003,4000.0,4000.0,2010.0,224,Tập đoàn CN Cao su VN,https://vnrubbergroup.com,"[{'Nhà nước': 0.9677}, {'Trần Ngọc Thuận': 0.0001}, {'Phạm Văn Thành': 0.0001}, {'Nguyễn Cửu Tuệ': 0.0001}, {'Khác': 0.0063}]",,,,,,
GTS,Xây dựng và Vật liệu,Construction & Materials,UPCOM,638,0.002,28.5,28.5,2010.0,490,Công trình Giao thông Sài Gòn,http://www.giaothongsaigon.com.vn,"[{'Công ty TNHH MTV Đầu tư Tài chính Nhà nước Thành phố Hồ Chí Minh': 0.49}, {'Công ty Cổ Phần Bảo Hiểm Bưu Điện': 0.2732}, {'Đặng Quốc Tuấn': 0.1858}, {'Lâm Tấn Kiệt': 0.1383}, {'Trần Thanh Hưng': 0.0179}, {'Võ Văn Sơn': 0.0036}, {'Võ Anh Tú': 0.0008}, {'Phan Thị Tú Trinh': 0.0003}, {'Nguyễn Hoàng Thái': 0.0002}, {'Khác': 0.0004}]",,,,,,
GTS,Xây dựng và Vật liệu,Construction & Materials,UPCOM,638,0.002,28.5,28.5,2010.0,490,Công trình Giao thông Sài Gòn,http://www.giaothongsaigon.com.vn,"[{'Công ty TNHH MTV Đầu tư Tài chính Nhà nước Thành phố Hồ Chí Minh': 0.49}, {'Công ty Cổ Phần Bảo Hiểm Bưu Điện': 0.2732}, {'Đặng Quốc Tuấn': 0.1858}, {'Lâm Tấn Kiệt': 0.1383}, {'Trần Thanh Hưng': 0.0179}, {'Võ Văn Sơn': 0.0036}, {'Võ Anh Tú': 0.0008}, {'Phan Thị Tú Trinh': 0.0003}, {'Nguyễn Hoàng Thái': 0.0002}, {'Khác': 0.0004}]",,,,,,
GTT,Du lịch và Giải trí,Travel & Leisure,UPCOM,1849,0.001,43.5,43.5,1985.0,5,Thuận Thảo Group,http://www.thuanthao.com.vn,"[{'Võ Thị Thanh': 0.3469}, {'Võ Hoàng Chương': 0.02}, {'Võ Việt Cường': 0.01}, {'Đặng Thị Nguyệt Thương': 0.01}, {'Trương Trọng Cử': 0.01}, {'Võ Thanh Minh Hằng': 0.01}, {'Lương Ngọc Khánh': 0.0007}, {'Nguyễn Hữu Ẩn': 0.0004}, {'Huỳnh Sỹ Chiến': 0.0004}, {'Khác': 0.0001}]",,,,,,
GTT,Du lịch và Giải trí,Travel & Leisure,UPCOM,1849,0.001,43.5,43.5,1985.0,5,Thuận Thảo Group,http://www.thuanthao.com.vn,"[{'Võ Thị Thanh': 0.3469}, {'Võ Hoàng Chương': 0.02}, {'Võ Việt Cường': 0.01}, {'Đặng Thị Nguyệt Thương': 0.01}, {'Trương Trọng Cử': 0.01}, {'Võ Thanh Minh Hằng': 0.01}, {'Lương Ngọc Khánh': 0.0007}, {'Nguyễn Hữu Ẩn': 0.0004}, {'Huỳnh Sỹ Chiến': 0.0004}, {'Khác': 0.0001}]",,,,,,
H11,Xây dựng và Vật liệu,Construction & Materials,UPCOM,183,0.002,1.1,1.1,2007.0,37,Xây dựng HUD101,http://www.hud101.vn,"[{'Công ty Cổ phần Đầu tư và Xây dựng HUD1': 0.51}, {'Hà Minh Hùng': 0.1002}, {'Trần Thế Tài': 0.019}, {'Nguyễn Đức Khương': 0.0189}, {'Vũ Thị Hồng Liễu': 0.0152}, {'Dương Tất Khiêm': 0.0142}, {'Đỗ Quang Hoa': 0.0047}, {'Nguyễn Đình Học': 0.0047}, {'Bùi Văn Quân': 0.0024}, {'Khác': 0.0098}]",,,,,,
H11,Xây dựng và Vật liệu,Construction & Materials,UPCOM,183,0.002,1.1,1.1,2007.0,37,Xây dựng HUD101,http://www.hud101.vn,"[{'Công ty Cổ phần Đầu tư và Xây dựng HUD1': 0.51}, {'Hà Minh Hùng': 0.1002}, {'Trần Thế Tài': 0.019}, {'Nguyễn Đức Khương': 0.0189}, {'Vũ Thị Hồng Liễu': 0.0152}, {'Dương Tất Khiêm': 0.0142}, {'Đỗ Quang Hoa': 0.0047}, {'Nguyễn Đình Học': 0.0047}, {'Bùi Văn Quân': 0.0024}, {'Khác': 0.0098}]",,,,,,
