,time,close,volume,ticker
1364,2023-12-01,4100,259800.0,AAV
1365,2023-12-04,4200,233400.0,AAV
1366,2023-12-05,4200,300900.0,AAV
1367,2023-12-06,4300,453700.0,AAV
1368,2023-12-07,4300,1180000.0,AAV
1369,2023-12-08,4300,447200.0,AAV
2964,2023-12-01,4990,170400.0,AAT
2965,2023-12-04,5000,427200.0,AAT
2966,2023-12-05,5000,262600.0,AAT
2967,2023-12-06,5040,362300.0,AAT
2968,2023-12-07,4980,458800.0,AAT
2969,2023-12-08,5000,228500.0,AAT
3813,2023-12-01,8500,1627700.0,AAS
3814,2023-12-04,8900,3037800.0,AAS
3815,2023-12-05,8900,1847600.0,AAS
3816,2023-12-06,9100,1651600.0,AAS
3817,2023-12-07,8800,3131100.0,AAS
3818,2023-12-08,8700,969700.0,AAS
4551,2023-12-01,7700,661300.0,ABB
4552,2023-12-04,7800,747600.0,ABB
4553,2023-12-05,7800,348500.0,ABB
4554,2023-12-06,7900,535700.0,ABB
4555,2023-12-07,7900,733400.0,ABB
4556,2023-12-08,7900,324900.0,ABB
7477,2023-12-01,9070,1388700.0,AAA
7478,2023-12-04,9240,3368400.0,AAA
7479,2023-12-05,9340,2545400.0,AAA
7480,2023-12-06,9800,5637900.0,AAA
7481,2023-12-07,9700,4177800.0,AAA
7482,2023-12-08,9580,2541300.0,AAA
9101,2023-12-01,14000,300.0,ABC
9102,2023-12-04,14000,47500.0,ABC
9103,2023-12-05,13900,9700.0,ABC
9104,2023-12-06,13900,1300.0,ABC
9105,2023-12-07,13900,13400.0,ABC
9106,2023-12-08,13700,1900.0,ABC
12030,2023-12-01,9400,600.0,AAM
12031,2023-12-04,9400,2500.0,AAM
12032,2023-12-05,9590,400.0,AAM
12033,2023-12-06,9590,5500.0,AAM
12034,2023-12-07,9590,600.0,AAM
12035,2023-12-08,9580,5400.0,AAM
12967,2023-12-01,5620,471100.0,ABS
12968,2023-12-04,5780,1069300.0,ABS
12969,2023-12-05,5740,969000.0,ABS
12970,2023-12-06,5890,1006200.0,ABS
12971,2023-12-07,5850,1345000.0,ABS
12972,2023-12-08,5850,590000.0,ABS
15846,2023-12-01,26400,7100.0,ABI
15847,2023-12-04,26200,60900.0,ABI
15848,2023-12-05,26000,19100.0,ABI
15849,2023-12-06,25900,11100.0,ABI
15850,2023-12-07,25800,5800.0,ABI
15851,2023-12-08,26000,4200.0,ABI
17048,2023-12-01,13900,1500.0,ABR
