ticker,response,table,crawl_datime
ABB,"{""ticker"":{""0"":""ABB""},""shareHolder_OwnPercent"":{""0"":[{""Ng\u00e2n H\u00e0ng Malayan Banking Berhad - Chi Nh\u00e1nh H\u00e0 N\u1ed9i"":0.1639},{""T\u1eadp \u0110o\u00e0n Geleximco - C\u00f4ng ty Cp"":0.1278},{""International Finance Corporation"":0.082},{""V\u0168 V\u0102N H\u1eacU"":0.0196},{""\u0110\u00e0o M\u1ea1nh Kh\u00e1ng"":0.008},{""V\u0168 V\u0102N TI\u1ec0N"":0.0037},{""Nguy\u1ec5n Th\u1ecb Qu\u1ef3nh Mai"":0.0014},{""Kh\u01b0\u01a1ng \u0110\u1ee9c Ti\u1ec7p"":0.0011},{""Nguy\u1ec5n Danh L\u01b0\u01a1ng"":0.0004},{""Kh\u00e1c"":0.0077}]}}",company_large_shareholders_final,2402041335
AAM,"{""ticker"":{""0"":""AAM""},""shareHolder_OwnPercent"":{""0"":[{""L\u01af\u01a0NG HO\u00c0NG M\u00c3NH"":0.3952},{""C\u00d4NG TY C\u1ed4 PH\u1ea6N V\u1eacT LI\u1ec6U X\u00c2Y D\u1ef0NG MOTILEN C\u1ea6N TH\u01a0"":0.0622},{""V\u0169 Th\u1ecb Thanh Th\u1ee7y"":0.0554},{""V\u00f5 L\u01b0\u01a1ng Ng\u1ecdc"":0.049},{""B\u00f9i Th\u00f9y Giang"":0.0486},{""\u0110o\u00e0n \u0110\u1ee9c V\u1ecbnh"":0.0387},{""Nguy\u1ec5n Ho\u00e0ng Anh"":0.038},{""Nguy\u1ec5n Ho\u00e0ng Nh\u01a1n"":0.032},{""Nguy\u1ec5n Th\u1ecb Ch\u00ednh"":0.0314},{""Kh\u00e1c"":0.2686}]}}",company_large_shareholders_final,2402041335
AAA,"{""ticker"":{""0"":""AAA""},""shareHolder_OwnPercent"":{""0"":[{""C\u00f4ng ty C\u1ed5 ph\u1ea7n T\u1eadp \u0111o\u00e0n An Ph\u00e1t Holdings"":0.5017},{""Nguy\u1ec5n Xu\u00e2n H\u00e0"":0.0398},{""Nguy\u1ec5n Minh Hoa"":0.0247},{""Ho\u00e0 Th\u1ecb Thu H\u00e0"":0.0026},{""Nguy\u1ec5n Th\u1ecb Ti\u1ec7n"":0.0026},{""Nguy\u1ec5n \u0110\u1ee9c D\u0169ng"":0.0008},{""Tr\u1ea7n Th\u1ecb Tho\u1ea3n"":0.0005},{""\u0110\u1ed7 Th\u1ecb Thoan"":0.0001},{""Kh\u00e1c"":0.2468}]}}",company_large_shareholders_final,2402041335
A32,"{""ticker"":{""0"":""A32""},""shareHolder_OwnPercent"":{""0"":[{""B\u1ed9 Qu\u1ed1c Ph\u00f2ng"":0.51},{""V\u0169 Th\u1ecb Luy\u1ebfn"":0.0269},{""Tr\u01b0\u01a1ng Th\u1ecb Th\u1ecbnh"":0.0269},{""Nguy\u1ec5n Th\u1ebf Anh"":0.0255},{""V\u0169 Xu\u00e2n T\u1ea1o"":0.0136},{""Ng\u00f4 Th\u00e0nh Th\u1eafng"":0.0016},{""Tr\u1ea7n Th\u1ecb B\u00ecnh"":0.0013},{""H\u00e0 Ng\u1ecdc Oanh"":0.0013},{""\u0110\u1eb7ng Th\u1ecb Th\u00fay H\u00e0"":0.0008},{""Kh\u00e1c"":0.0005}]}}",company_large_shareholders_final,2402041335
AAS,"{""ticker"":{""0"":""AAS""},""shareHolder_OwnPercent"":{""0"":[{""Nguy\u1ec5n \u0110\u1ee9c Hi\u1ebfu"":0.0323},{""Ng\u00f4 Th\u1ecb Th\u00f9y Linh"":0.0166},{""L\u00ea Quang Chung"":0.0025},{""Kh\u00e1c"":0.0}]}}",company_large_shareholders_final,2402041335
AAV,"{""ticker"":{""0"":""AAV""},""shareHolder_OwnPercent"":{""0"":[{""Ph\u1ea1m Quang Kh\u00e1nh"":0.2357},{""Ph\u1ea1m Thanh T\u00f9ng"":0.0674},{""Nguy\u1ec5n S\u01a1n C\u01b0\u1eddng"":0.0491},{""Nguy\u1ec5n Th\u1ecb Thanh H\u01b0\u01a1ng"":0.0483},{""Ph\u1ea1m \u0110\u1ee9c V\u0103n"":0.0478},{""Ho\u00e0ng th\u1ecb H\u00e0"":0.0473},{""L\u00ea S\u1ef9 C\u01b0\u1eddng"":0.0435},{""Nguy\u1ec5n Tu\u1ea5n Anh"":0.0408},{""Nguy\u1ec5n \u0110\u1ee9c H\u1ea1nh"":0.04},{""Kh\u00e1c"":0.0461}]}}",company_large_shareholders_final,2402041335
AAT,"{""ticker"":{""0"":""AAT""},""shareHolder_OwnPercent"":{""0"":[{""Tr\u1ecbnh Xu\u00e2n L\u00e2m"":0.1184},{""Tr\u1ecbnh Xu\u00e2n L\u01b0\u1ee3ng"":0.0177},{""L\u00ea \u0110\u0103ng Thuy\u1ebft"":0.0087},{""Tr\u1ecbnh V\u0103n D\u01b0\u01a1ng"":0.0079},{""Tr\u1ecbnh Xu\u00e2n D\u01b0\u1ee1ng"":0.007},{""T\u1ed1ng Anh Linh"":0.0061},{""Nguy\u1ec5n Th\u1ecb D\u1ee5"":0.0017},{""Tr\u1ecbnh Kim Giang"":0.001},{""L\u00ea Quy\u1ec1n"":0.0003},{""Kh\u00e1c"":0.0004}]}}",company_large_shareholders_final,2402041335
ABT,"{""ticker"":{""0"":""ABT""},""shareHolder_OwnPercent"":{""0"":[{""C\u00f4ng ty C\u1ed5 ph\u1ea7n T\u1eadp \u0111o\u00e0n PAN"":0.7647},{""L\u01b0\u01a1ng Thanh T\u00f9ng"":0.1053},{""Deutsche Asset Management (Asia) Limited"":0.0605},{""Nguy\u1ec5n Xu\u00e2n H\u00f9ng"":0.0093},{""L\u00ea B\u00e1 Ph\u01b0\u01a1ng"":0.0087},{""L\u01b0\u01a1ng V\u0103n Th\u00e0nh"":0.0062},{""Nguy\u1ec5n V\u0103n Nh\u1ecf"":0.0053},{""B\u00f9i Kim Hi\u1ebfu"":0.0047},{""\u0110\u1eb7ng Ki\u1ebft T\u01b0\u1eddng"":0.0019},{""Kh\u00e1c"":0.087}]}}",company_large_shareholders_final,2402041335
ABS,"{""ticker"":{""0"":""ABS""},""shareHolder_OwnPercent"":{""0"":[{""TR\u1ea6N V\u0102N M\u01af\u1edcI"":0.125},{""Ph\u1ea1m Thu Hi\u1ec1n"":0.097},{""Ng\u00f4 Th\u1ecb Ng\u1ecdc H\u1ea1nh"":0.072},{""Tr\u1ea7n \u0110\u1ee9c Th\u00e0nh"":0.0499},{""Nguy\u1ec5n Vi\u1ebft Th\u1eafng"":0.0463},{""Tr\u1ea7n V\u0103n Ch\u00ednh"":0.045},{""\u0110inh Th\u1ecb Sen"":0.0313},{""Tr\u1ea7n Th\u1ecb Hoa"":0.012},{""Tr\u1ea7n B\u00e1 Mai Anh V\u0169"":0.0017},{""Kh\u00e1c"":0.0062}]}}",company_large_shareholders_final,2402041335
ABR,"{""ticker"":{""0"":""ABR""},""shareHolder_OwnPercent"":{""0"":[{""C\u00f4ng ty C\u1ed5 ph\u1ea7n Ph\u00e1t tri\u1ec3n Quang Th\u00e1i"":0.397},{""C\u00f4ng ty TNHH Ph\u00e1t tri\u1ec3n \u0110\u1ed5ng \u0110\u1ee9c"":0.2475},{""C\u00f4ng ty TNHH Ph\u00e1t tri\u1ec3n \u0110\u1ed3ng Th\u1ecbnh"":0.1435},{""Lan, Wan-Chen"":0.0489},{""Tsai, Hsiu-Li"":0.0436},{""L\u00ea T\u1ea5t Th\u00e0nh"":0.0333},{""Nguy\u1ec5n H\u1ea3i D\u01b0\u01a1ng"":0.0002},{""Kh\u00e1c"":0.0958}]}}",company_large_shareholders_final,2402041335
ABC,"{""ticker"":{""0"":""ABC""},""shareHolder_OwnPercent"":{""0"":[{""T\u1eadp \u0110o\u00e0n B\u01b0u Ch\u00ednh Vi\u1ec5n Th\u00f4ng Vi\u1ec7t Nam (lo\u1ea1i H\u00ecnh Doanh Nghi\u1ec7p: C\u00f4ng ty Tnhh)"":0.283},{""V\u0169 H\u1ea1nh Quy\u00ean"":0.1496},{""V\u0169 Ho\u00e0ng Vi\u1ec7t"":0.0392},{""Nguy\u1ec5n M\u1ea1nh H\u00f9ng"":0.0147},{""Nguy\u1ec5n Ho\u00e0ng Nam"":0.0123},{""Tr\u1ea7n B\u00ecnh D\u01b0\u01a1ng"":0.0021},{""\u0110\u1eb7ng Th\u1ecb H\u01b0\u1eddng"":0.0019},{""\u0110\u1ed7 Ng\u1ecdc Khu\u00ea"":0.0004},{""Ph\u1ea1m Minh Tu\u1ea5n"":0.0002},{""Kh\u00e1c"":0.0001}]}}",company_large_shareholders_final,2402041335
ABW,"{""ticker"":{""0"":""ABW""},""shareHolder_OwnPercent"":{""0"":[{""T\u1eadp \u0110o\u00e0n Geleximco - C\u00f4ng ty Cp"":0.4636},{""T\u1ea1 Th\u1ecb H\u1ed3ng H\u00e0"":0.0039},{""L\u00ea Vi\u1ec7t H\u00e0"":0.0003},{""Kh\u00e1c"":0.0001}]}}",company_large_shareholders_final,2402041335
ABI,"{""ticker"":{""0"":""ABI""},""shareHolder_OwnPercent"":{""0"":[{""Ng\u00e2n H\u00e0ng N\u00f4ng Nghi\u1ec7p V\u00e0 Ph\u00e1t Tri\u1ec3n N\u00f4ng Th\u00f4n Vi\u1ec7t Nam"":0.5174},{""T\u1ed5ng C\u00f4ng ty C\u1ed5 ph\u1ea7n T\u00e1i b\u1ea3o hi\u1ec3m Qu\u1ed1c gia Vi\u1ec7t Nam"":0.0849},{""Afc Vietnam Fund"":0.0603},{""V\u0169 Th\u00fay H\u1ea1nh"":0.0097},{""Tr\u1ea7n Ng\u1ecdc Tu\u1ea5n"":0.0093},{""Nguy\u1ec5n V\u0103n Minh"":0.0026},{""L\u00ea Th\u1ecb H\u1ed3ng H\u1ea1nh"":0.0017},{""Nguy\u1ec5n Ti\u1ebfn H\u1ea3i"":0.0016},{""Mai Kh\u00e1nh Chung"":0.0013},{""Kh\u00e1c"":0.0193}]}}",company_large_shareholders_final,2402041335
ACB,"{""ticker"":{""0"":""ACB""},""shareHolder_OwnPercent"":{""0"":[{""Vietnam Enterprise Investments Limited"":0.0626},{""Tr\u1ea7n H\u00f9ng Huy"":0.0343},{""\u0110\u1eb7ng Thu Th\u1ee7y"":0.0119},{""\u0110\u1eb7ng Thu H\u00e0"":0.0103},{""Nguy\u1ec5n Th\u00fay Lan"":0.0096},{""Nguy\u1ec5n Th\u00f9y H\u01b0\u01a1ng"":0.009},{""Tr\u1ea7n Ph\u00fa M\u1ef9"":0.0083},{""Nguy\u1ec5n \u0110\u1ee9c Ki\u00ean"":0.0046},{""\u0110\u1eb7ng Ph\u00fa Vinh"":0.0037},{""Kh\u00e1c"":0.2695}]}}",company_large_shareholders_final,2402041335
ACC,"{""ticker"":{""0"":""ACC""},""shareHolder_OwnPercent"":{""0"":[{""C\u00f4ng ty C\u1ed5 ph\u1ea7n Kinh doanh v\u00e0 \u0110\u1ea7u t\u01b0 B\u00ecnh D\u01b0\u01a1ng"":0.4878},{""Nguy\u1ec5n Th\u1ecb Kim Thanh"":0.2367},{""C\u00f4ng ty C\u1ed5 ph\u1ea7n Kho\u00e1ng s\u1ea3n Mi\u1ec1n \u0110\u00f4ng AHP"":0.1819},{""PYN Elite Fund"":0.0961},{""Tr\u01b0\u01a1ng \u0110\u1ee9c H\u00f9ng"":0.0031},{""Ho\u00e0ng Xu\u00e2n Quang"":0.0026},{""Nguy\u1ec5n T\u1ea5n Thu\u1eadn"":0.001},{""Ph\u1ea1m Th\u1ecb S\u01b0\u01a1ng"":0.0007},{""Tr\u1ecbnh Th\u1ecb Ng\u1eadn"":0.0003},{""Kh\u00e1c"":0.0478}]}}",company_large_shareholders_final,2402041335
ACG,"{""ticker"":{""0"":""ACG""},""shareHolder_OwnPercent"":{""0"":[{""C\u00f4ng ty TNHH \u0110\u1ea7u T\u01b0 Nc Vi\u1ec7t Nam"":0.5005},{""Sumitomo Forestry (Singapore) Co., Ltd"":0.1961},{""Whitlam Holding Pte.Ltd"":0.1807},{""Nguy\u1ec5n Minh Tu\u1ea5n"":0.0198},{""L\u00ea Th\u1ecb Kim C\u00fac"":0.0049},{""Nguy\u1ec5n Th\u1ecb Kim Thoa"":0.0036},{""V\u00f5 Th\u1ecb Ng\u1ecdc \u00c1nh"":0.002},{""L\u00ea \u0110\u1ee9c Ngh\u0129a"":0.0016},{""L\u00ea Thanh Phong"":0.0014},{""Kh\u00e1c"":0.014}]}}",company_large_shareholders_final,2402041335
ACS,"{""ticker"":{""0"":""ACS""},""shareHolder_OwnPercent"":{""0"":[{""Nguy\u1ec5n Quang Khanh"":0.1777},{""\u0110INH VI\u1ebeT DUY"":0.1546},{""L\u00ca \u0110\u1ee8C NGUY\u00caN"":0.1243},{""C\u00f4ng ty C\u1ed5 ph\u1ea7n B\u00ea t\u00f4ng Ngo\u1ea1i Th\u01b0\u01a1ng"":0.1056},{""C\u00f4ng ty TNHH Ph\u00fac Ph\u00fa An"":0.1},{""C\u00f4ng ty C\u1ed5 ph\u1ea7n \u0110\u1ea7u t\u01b0 X\u00e2y d\u1ef1ng Ngo\u1ea1i Th\u01b0\u01a1ng"":0.0553},{""\u0110\u1eb6NG L\u00ca D\u0168NG"":0.0528}]}}",company_large_shareholders_final,2402041335
ACE,"{""ticker"":{""0"":""ACE""},""shareHolder_OwnPercent"":{""0"":[{""T\u1ed5ng C\u00f4ng ty C\u1ed5 ph\u1ea7n X\u00e2y d\u1ef1ng C\u00f4ng nghi\u1ec7p Vi\u1ec7t Nam"":0.5069},{""Nguy\u1ec5n Th\u1ecb Luy\u1ec7n"":0.0601},{""Cao Th\u1ecb Hi\u1ebfu Th\u1ea3o"":0.0432},{""V\u01b0\u01a1ng Th\u1ecb Kim"":0.02},{""L\u00ea Anh Ki\u1ec7t"":0.0151},{""Ho\u00e0ng Th\u1ebf Hi\u1ec3n"":0.0139},{""L\u00ca DUY C\u1eecU"":0.0077},{""L\u00ea Th\u1ecb Y\u1ebfn Tuy\u1ebft"":0.0059},{""Tr\u1ecbnh T\u1ea5n \u0110\u1ec7"":0.0033},{""Kh\u00e1c"":0.0301}]}}",company_large_shareholders_final,2402041335
ACL,"{""ticker"":{""0"":""ACL""},""shareHolder_OwnPercent"":{""0"":[{""TR\u1ea6N TH\u1eca V\u00c2N LOAN"":0.5483},{""Nguy\u1ec5n Th\u01b0\u01a1ng Nh\u1eadt Vi"":0.0596},{""Tr\u1ea7n Th\u1ecb Thu V\u00e2n"":0.0461},{""TR\u1ea6N TU\u1ea4N KHANH"":0.0274},{""Tr\u1ea7n Tu\u1ea5n Nam"":0.0262},{""NGUY\u1ec4N XU\u00c2N H\u1ea2I"":0.0207},{""Tr\u1ecbnh Th\u1ecb Mai Ph\u01b0\u01a1ng"":0.0198},{""Nguy\u1ec5n Th\u1ecb B\u00edch V\u00e2n"":0.0002},{""Ph\u1ea1m Th\u1ecb H\u1ed3ng Ng\u1ecdc"":0.0001},{""Kh\u00e1c"":0.085}]}}",company_large_shareholders_final,2402041335
ACM,"{""ticker"":{""0"":""ACM""},""shareHolder_OwnPercent"":{""0"":[{""Nguy\u1ec5n Xu\u00e2n Thanh"":0.0981},{""L\u00ea Th\u1ecb Y\u1ebfn Ng\u1ecdc"":0.0392},{""Ph\u1ea1m Th\u1ecb Th\u00fay H\u1ea1nh"":0.0122},{""V\u0169 Th\u1ecb Thu Hi\u1ec1n"":0.0039},{""Nguy\u1ec5n Th\u1ecb Doan"":0.0002},{""\u0110inh Th\u1ecb Ng\u1ecdc San"":0.0001},{""Ph\u1ea1m Th\u1ecb Thu Ho\u00e0i"":0.0001},{""Kh\u00e1c"":0.0}]}}",company_large_shareholders_final,2402041335
ACV,"{""ticker"":{""0"":""ACV""},""shareHolder_OwnPercent"":{""0"":[{""\u1ee6y Ban Qu\u1ea3n L\u00fd V\u1ed1n Nh\u00e0 N\u01b0\u1edbc T\u1ea1i Doanh Nghi\u1ec7p"":0.954},{""Kh\u00e1c"":0.014}]}}",company_large_shareholders_final,2402041335
