ticker,response,table,crawl_datime
AAA,"{""ticker"":{""0"":""AAA"",""1"":""AAA"",""2"":""AAA"",""3"":""AAA"",""4"":""AAA"",""5"":""AAA"",""6"":""AAA"",""7"":""AAA"",""8"":""AAA"",""9"":""AAA"",""10"":""AAA""},""subCompanyName"":{""0"":""An Phat International Inc"",""1"":""C\u00f4ng ty C\u1ed5 Ph\u1ea7n Nh\u1ef1a Bao B\u00ec An Vinh"",""2"":""C\u00f4ng ty C\u1ed5 ph\u1ea7n Khu c\u00f4ng nghi\u1ec7p K\u1ef9 thu\u1eadt cao An Ph\u00e1t"",""3"":""Afc Ecoplastics, Llc."",""4"":""C\u00f4ng Ty C\u1ed5 Ph\u1ea7n An Th\u00e0nh Bicsol"",""5"":""C\u00f4ng ty An Th\u00e0nh Bicsol Singapore Pte Ltd"",""6"":""C\u00f4ng ty C\u1ed5 ph\u1ea7n An Ti\u1ebfn Industries"",""7"":""C\u00f4ng ty CP Li\u00ean V\u1eadn An T\u00edn"",""8"":""C\u00f4ng ty C\u1ed5 ph\u1ea7n Nh\u1ef1a H\u00e0 N\u1ed9i"",""9"":""C\u00f4ng ty C\u1ed5 ph\u1ea7n Khu c\u00f4ng nghi\u1ec7p K\u1ef9 thu\u1eadt cao An Ph\u00e1t 1"",""10"":""C\u00f4ng ty C\u1ed5 ph\u1ea7n Nh\u1ef1a, Bao b\u00ec Vinh""},""subOwnPercent"":{""0"":1.0,""1"":1.0,""2"":0.92,""3"":0.75,""4"":0.651,""5"":0.635,""6"":0.549,""7"":0.5,""8"":0.474,""9"":0.469,""10"":0.348}}",company_subsidiaries_listing_final,2402041842
AAS,"{""ticker"":{""0"":""AAS"",""1"":""AAS""},""subCompanyName"":{""0"":""C\u00f4ng ty C\u1ed5 ph\u1ea7n X\u0103ng d\u1ea7u D\u1ea7u kh\u00ed Th\u00e1i B\u00ecnh"",""1"":""C\u00f4ng ty C\u1ed5 ph\u1ea7n AAV Group""},""subOwnPercent"":{""0"":0.147,""1"":0.02}}",company_subsidiaries_listing_final,2402041842
AAM,"{""ticker"":{""0"":""AAM""},""subCompanyName"":{""0"":""C\u00d4NG TY C\u1ed4 PH\u1ea6N V\u1eacT LI\u1ec6U X\u00c2Y D\u1ef0NG MOTILEN C\u1ea6N TH\u01a0""},""subOwnPercent"":{""0"":0.45}}",company_subsidiaries_listing_final,2402041842
AAV,"{""ticker"":{""0"":""AAV"",""1"":""AAV"",""2"":""AAV"",""3"":""AAV""},""subCompanyName"":{""0"":""C\u00f4ng Ty C\u00f4\u0309 Ph\u00e2\u0300n Vi\u1ec7t Ti\u00ean S\u01a1n"",""1"":""C\u00f4ng ty C\u1ed5 ph\u1ea7n \u0110\u00f4ng Nam D\u01b0\u1ee3c Nguy\u1ec5n Thi\u1ec7u"",""2"":""C\u00d4NG TY C\u1ed4 PH\u1ea6N AAV TRADING"",""3"":""C\u00f4ng Ty C\u1ed5 Ph\u1ea7n Aav Land""},""subOwnPercent"":{""0"":0.95,""1"":0.888,""2"":0.8,""3"":0.77}}",company_subsidiaries_listing_final,2402041842
ABR,"{""ticker"":{""0"":""ABR""},""subCompanyName"":{""0"":""C\u00d4NG TY TNHH M\u1ed8T TH\u00c0NH VI\u00caN TH\u01af\u01a0NG M\u1ea0I D\u1ecaCH V\u1ee4 CU\u1ed8C S\u1ed0NG M\u1edaI""},""subOwnPercent"":{""0"":1.0}}",company_subsidiaries_listing_final,2402041842
ABC,"{""ticker"":{""0"":""ABC"",""1"":""ABC"",""2"":""ABC"",""3"":""ABC""},""subCompanyName"":{""0"":""C\u00f4ng ty CP C\u00f4ng Ngh\u1ec7 Ocg"",""1"":""C\u00f4ng ty C\u1ed5 ph\u1ea7n C\u00f4ng ngh\u1ec7 v\u00e0 D\u1ecbch v\u1ee5 Imedia"",""2"":""C\u00f4ng ty CP Truy\u1ec1n Th\u00f4ng Vnnplus"",""3"":""C\u00f4ng Ty C\u1ed5 Ph\u1ea7n Th\u01b0\u01a1ng M\u1ea1i \u0110i\u1ec7n T\u1eed Lingo""},""subOwnPercent"":{""0"":0.505,""1"":0.306,""2"":0.286,""3"":0.2}}",company_subsidiaries_listing_final,2402041842
AAT,"{""ticker"":{""0"":""AAT""},""subCompanyName"":{""0"":""C\u00f4ng ty C\u1ed5 ph\u1ea7n L\u01b0\u01a1ng Ph\u00e1t""},""subOwnPercent"":{""0"":0.421}}",company_subsidiaries_listing_final,2402041842
ABS,"{""ticker"":{""0"":""ABS""},""subCompanyName"":{""0"":""C\u00f4ng ty C\u1ed5 ph\u1ea7n Xu\u1ea5t nh\u1eadp kh\u1ea9u V\u1eadt t\u01b0 N\u00f4ng nghi\u1ec7p III""},""subOwnPercent"":{""0"":0.12}}",company_subsidiaries_listing_final,2402041842
ABT,"{""ticker"":{""0"":""ABT"",""1"":""ABT"",""2"":""ABT"",""3"":""ABT"",""4"":""ABT"",""5"":""ABT"",""6"":""ABT"",""7"":""ABT"",""8"":""ABT"",""9"":""ABT"",""10"":""ABT"",""11"":""ABT"",""12"":""ABT"",""13"":""ABT""},""subCompanyName"":{""0"":""C\u00f4ng ty TNHH Th\u1ee7y s\u1ea3n c\u00f4ng ngh\u1ec7 cao AQUATEX BEN TRE"",""1"":""C\u00f4ng ty C\u1ed5 ph\u1ea7n Th\u1ef1c ph\u1ea9m Sao Ta"",""2"":""C\u00f4ng ty C\u1ed5 ph\u1ea7n S\u1ea3n xu\u1ea5t Kinh doanh Xu\u1ea5t nh\u1eadp kh\u1ea9u B\u00ecnh Th\u1ea1nh"",""3"":""C\u00f4ng ty C\u1ed5 ph\u1ea7n T\u1ea5m l\u1ee3p V\u1eadt li\u1ec7u X\u00e2y d\u1ef1ng \u0110\u1ed3ng Nai"",""4"":""C\u00f4ng ty C\u1ed5 ph\u1ea7n Bibica"",""5"":""C\u00f4ng ty C\u1ed5 Ph\u1ea7n Ch\u1ee9ng Kho\u00e1n \u00c2u Vi\u1ec7t"",""6"":""C\u00f4ng ty C\u1ed5 ph\u1ea7n Kh\u1eed tr\u00f9ng Vi\u1ec7t Nam"",""7"":""C\u00f4ng ty C\u1ed5 Ph\u1ea7n Th\u1ee7y S\u1ea3n MeKong"",""8"":""C\u00f4ng ty C\u1ed5 ph\u1ea7n \u0110\u00f4ng H\u1ea3i B\u1ebfn Tre"",""9"":""C\u00f4ng ty C\u1ed5 ph\u1ea7n Ch\u1ebf bi\u1ebfn H\u00e0ng Xu\u1ea5t kh\u1ea9u Long An"",""10"":""C\u00f4ng ty C\u1ed5 ph\u1ea7n \u0110\u1ea1i Thi\u00ean L\u1ed9c"",""11"":""C\u00f4ng ty C\u1ed5 ph\u1ea7n Ch\u1ee9ng kho\u00e1n SSI"",""12"":""C\u00f4ng ty C\u1ed5 ph\u1ea7n Gi\u1ed1ng c\u00e2y tr\u1ed3ng Mi\u1ec1n Nam"",""13"":""C\u00f4ng ty C\u1ed5 ph\u1ea7n T\u1eadp \u0111o\u00e0n Gi\u1ed1ng c\u00e2y tr\u1ed3ng Vi\u1ec7t Nam""},""subOwnPercent"":{""0"":1.0,""1"":0.124,""2"":0.075,""3"":0.036,""4"":0.035,""5"":0.028,""6"":0.017,""7"":0.013,""8"":0.006,""9"":0.0,""10"":0.0,""11"":0.0,""12"":0.0,""13"":0.0}}",company_subsidiaries_listing_final,2402041842
ABW,"{""ticker"":{""0"":""ABW"",""1"":""ABW"",""2"":""ABW"",""3"":""ABW""},""subCompanyName"":{""0"":""C\u00f4ng ty C\u1ed5 ph\u1ea7n X\u00e2y d\u1ef1ng v\u00e0 Ph\u00e1t tri\u1ec3n \u0111\u00f4 th\u1ecb T\u1ec9nh B\u00e0 R\u1ecba - V\u0169ng T\u00e0u"",""1"":""C\u00f4ng ty C\u1ed5 ph\u1ea7n \u0110\u1ea7u t\u01b0 T\u1ed5ng h\u1ee3p H\u00e0 N\u1ed9i"",""2"":""Ng\u00e2n h\u00e0ng Th\u01b0\u01a1ng m\u1ea1i C\u1ed5 ph\u1ea7n An B\u00ecnh"",""3"":""Ng\u00e2n h\u00e0ng Th\u01b0\u01a1ng m\u1ea1i C\u1ed5 ph\u1ea7n C\u00f4ng th\u01b0\u01a1ng Vi\u1ec7t Nam""},""subOwnPercent"":{""0"":0.034,""1"":0.018,""2"":0.006,""3"":0.0}}",company_subsidiaries_listing_final,2402041842
