ticker,response,table,crawl_datime
A32,"{""exerciseDate"":{""0"":""21\/12\/23"",""1"":""01\/08\/23"",""2"":""15\/12\/22"",""3"":""01\/08\/22"",""4"":""16\/12\/21"",""5"":""05\/07\/21"",""6"":""12\/01\/21"",""7"":""01\/06\/20"",""8"":""24\/12\/19"",""9"":""06\/06\/19"",""10"":""08\/01\/19"",""11"":""31\/12\/17"",""12"":""31\/12\/16"",""13"":""31\/12\/15"",""14"":""31\/12\/14""},""cashYear"":{""0"":2023,""1"":2022,""2"":2022,""3"":2021,""4"":2021,""5"":2020,""6"":2020,""7"":2019,""8"":2019,""9"":2018,""10"":2018,""11"":2017,""12"":2016,""13"":2015,""14"":2014},""cashDividendPercentage"":{""0"":0.1,""1"":0.2,""2"":0.1,""3"":0.27,""4"":0.1,""5"":0.07,""6"":0.15,""7"":0.07,""8"":0.15,""9"":0.07,""10"":0.15,""11"":0.22,""12"":0.22,""13"":0.22,""14"":0.22},""issueMethod"":{""0"":""cash"",""1"":""cash"",""2"":""cash"",""3"":""cash"",""4"":""cash"",""5"":""cash"",""6"":""cash"",""7"":""cash"",""8"":""cash"",""9"":""cash"",""10"":""cash"",""11"":""cash"",""12"":""cash"",""13"":""cash"",""14"":""cash""}}",dividend_history_final,2402041432
AAM,"{""exerciseDate"":{""0"":""31\/03\/23"",""1"":""26\/02\/20"",""2"":""10\/07\/19"",""3"":""21\/02\/19"",""4"":""07\/11\/18"",""5"":""21\/02\/18"",""6"":""08\/02\/17"",""7"":""25\/12\/15"",""8"":""05\/02\/15"",""9"":""25\/02\/14"",""10"":""10\/07\/13"",""11"":""10\/07\/13"",""12"":""13\/11\/12"",""13"":""25\/04\/12"",""14"":""07\/12\/11"",""15"":""01\/08\/11"",""16"":""02\/03\/11"",""17"":""31\/08\/10"",""18"":""14\/04\/10"",""19"":""24\/03\/10""},""cashYear"":{""0"":2022,""1"":2019,""2"":2019,""3"":2018,""4"":2018,""5"":2017,""6"":2016,""7"":2015,""8"":2014,""9"":2013,""10"":2012,""11"":2013,""12"":2012,""13"":2011,""14"":2011,""15"":2011,""16"":2010,""17"":2010,""18"":2009,""19"":2010},""cashDividendPercentage"":{""0"":0.07,""1"":0.05,""2"":0.05,""3"":0.03,""4"":0.05,""5"":0.05,""6"":0.05,""7"":0.06,""8"":0.1,""9"":0.1,""10"":0.05,""11"":0.15,""12"":0.1,""13"":0.12,""14"":0.12,""15"":0.18,""16"":0.2,""17"":0.1,""18"":0.15,""19"":0.15},""issueMethod"":{""0"":""cash"",""1"":""cash"",""2"":""cash"",""3"":""cash"",""4"":""cash"",""5"":""cash"",""6"":""cash"",""7"":""cash"",""8"":""cash"",""9"":""cash"",""10"":""cash"",""11"":""share"",""12"":""cash"",""13"":""cash"",""14"":""cash"",""15"":""cash"",""16"":""cash"",""17"":""cash"",""18"":""cash"",""19"":""share""}}",dividend_history_final,2402041432
AAA,"{""exerciseDate"":{""0"":""01\/09\/21"",""1"":""19\/10\/20"",""2"":""14\/09\/20"",""3"":""14\/08\/19"",""4"":""17\/01\/18"",""5"":""14\/08\/17"",""6"":""06\/03\/17"",""7"":""05\/12\/16"",""8"":""07\/04\/16"",""9"":""28\/09\/15"",""10"":""18\/06\/14"",""11"":""13\/06\/13"",""12"":""13\/08\/12"",""13"":""13\/09\/11""},""cashYear"":{""0"":2020,""1"":2020,""2"":2019,""3"":2019,""4"":2017,""5"":2017,""6"":2016,""7"":2016,""8"":2015,""9"":2015,""10"":2013,""11"":2012,""12"":2011,""13"":2010},""cashDividendPercentage"":{""0"":0.05,""1"":0.05,""2"":0.05,""3"":0.05,""4"":0.15,""5"":0.05,""6"":0.1,""7"":0.1,""8"":0.07,""9"":0.25,""10"":0.1,""11"":0.1,""12"":0.11,""13"":0.091},""issueMethod"":{""0"":""cash"",""1"":""share"",""2"":""cash"",""3"":""cash"",""4"":""cash"",""5"":""cash"",""6"":""cash"",""7"":""cash"",""8"":""cash"",""9"":""share"",""10"":""cash"",""11"":""cash"",""12"":""cash"",""13"":""cash""}}",dividend_history_final,2402041432
AAT,"{""exerciseDate"":{""0"":""04\/07\/23"",""1"":""23\/06\/22"",""2"":""14\/10\/21"",""3"":""14\/10\/21""},""cashYear"":{""0"":2023,""1"":2021,""2"":2021,""3"":2020},""cashDividendPercentage"":{""0"":0.11,""1"":0.03,""2"":0.115,""3"":0.1},""issueMethod"":{""0"":""share"",""1"":""cash"",""2"":""share"",""3"":""cash""}}",dividend_history_final,2402041432
AAS,"{""exerciseDate"":{""0"":""14\/11\/23"",""1"":""27\/06\/23""},""cashYear"":{""0"":2023,""1"":2023},""cashDividendPercentage"":{""0"":0.15,""1"":0.5},""issueMethod"":{""0"":""share"",""1"":""share""}}",dividend_history_final,2402041432
AAV,"{""exerciseDate"":{""0"":""04\/08\/22"",""1"":""08\/07\/21"",""2"":""28\/06\/19"",""3"":""04\/10\/18"",""4"":""31\/12\/16""},""cashYear"":{""0"":2022,""1"":2021,""2"":2018,""3"":2018,""4"":2016},""cashDividendPercentage"":{""0"":0.035,""1"":0.15,""2"":0.1,""3"":0.15,""4"":0.1},""issueMethod"":{""0"":""share"",""1"":""share"",""2"":""cash"",""3"":""share"",""4"":""cash""}}",dividend_history_final,2402041432
ABI,"{""exerciseDate"":{""0"":""03\/11\/23"",""1"":""03\/11\/23"",""2"":""15\/11\/22"",""3"":""05\/11\/21"",""4"":""19\/03\/21"",""5"":""29\/07\/20"",""6"":""07\/02\/20"",""7"":""14\/03\/19"",""8"":""14\/03\/18"",""9"":""14\/03\/17"",""10"":""15\/03\/16"",""11"":""03\/03\/15"",""12"":""21\/03\/14"",""13"":""12\/04\/13"",""14"":""01\/06\/12"",""15"":""16\/05\/11"",""16"":""08\/06\/10""},""cashYear"":{""0"":2022,""1"":2023,""2"":2022,""3"":2021,""4"":2020,""5"":2019,""6"":2019,""7"":2018,""8"":2017,""9"":2016,""10"":2015,""11"":2014,""12"":2013,""13"":2012,""14"":2011,""15"":2010,""16"":2009},""cashDividendPercentage"":{""0"":0.1,""1"":0.413,""2"":0.2,""3"":0.14,""4"":0.04,""5"":0.08,""6"":0.12,""7"":0.12,""8"":0.12,""9"":0.12,""10"":0.12,""11"":0.12,""12"":0.1,""13"":0.1,""14"":0.1,""15"":0.08,""16"":0.02},""issueMethod"":{""0"":""cash"",""1"":""share"",""2"":""share"",""3"":""share"",""4"":""cash"",""5"":""cash"",""6"":""cash"",""7"":""cash"",""8"":""cash"",""9"":""cash"",""10"":""cash"",""11"":""cash"",""12"":""cash"",""13"":""cash"",""14"":""cash"",""15"":""cash"",""16"":""cash""}}",dividend_history_final,2402041432
ABB,"{""exerciseDate"":{""0"":""30\/05\/23"",""1"":""29\/06\/19""},""cashYear"":{""0"":2023,""1"":2019},""cashDividendPercentage"":{""0"":0.1,""1"":0.074},""issueMethod"":{""0"":""share"",""1"":""share""}}",dividend_history_final,2402041432
ABC,"{""exerciseDate"":{""0"":""31\/08\/23"",""1"":""08\/07\/20"",""2"":""25\/06\/19"",""3"":""12\/07\/17"",""4"":""24\/05\/16"",""5"":""21\/05\/15"",""6"":""29\/05\/14"",""7"":""31\/05\/13""},""cashYear"":{""0"":2022,""1"":2019,""2"":2018,""3"":2016,""4"":2015,""5"":2014,""6"":2013,""7"":2012},""cashDividendPercentage"":{""0"":0.15,""1"":0.1,""2"":0.1,""3"":1.95,""4"":0.4,""5"":0.25,""6"":0.25,""7"":0.25},""issueMethod"":{""0"":""cash"",""1"":""cash"",""2"":""cash"",""3"":""cash"",""4"":""cash"",""5"":""cash"",""6"":""cash"",""7"":""cash""}}",dividend_history_final,2402041432
ABR,"DATA ERROR OR NOT EXIST: ""['no', 'ticker'] not found in axis""",dividend_history_final,2402041432
