ticker,response,table,crawl_datime
AAM,"{""M\u00e3 CP"":{""0"":""AAM""},""Gi\u00e1"":{""0"":8910.0},""KLBD\/TB5D"":{""0"":0.41},""T.\u0111\u1ed9 GD"":{""0"":0.0},""KLGD r\u00f2ng(CM)"":{""0"":0},""%KLGD r\u00f2ng (CM)"":{""0"":0.0},""RSI"":{""0"":40.1744},""MACD Hist"":{""0"":-0.02},""MACD Signal"":{""0"":""Sell""},""T\u00edn hi\u1ec7u KT"":{""0"":""Neutral""},""T\u00edn hi\u1ec7u TB \u0111\u1ed9ng"":{""0"":""Neutral""},""MA20"":{""0"":9212.0},""MA50"":{""0"":9394.8},""MA100"":{""0"":9780.1},""Phi\u00ean +\/- "":{""0"":0},""% thay \u0111\u1ed5i gi\u00e1 3D"":{""0"":0.1},""% thay \u0111\u1ed5i gi\u00e1 1M"":{""0"":-4.5},""% thay \u0111\u1ed5i gi\u00e1 3M"":{""0"":-5.2},""% thay \u0111\u1ed5i gi\u00e1 1Y"":{""0"":-16.5},""RS 3D"":{""0"":28.0},""RS 1M"":{""0"":51.0},""RS 3M"":{""0"":75.0},""RS 1Y"":{""0"":45.0},""RS TB"":{""0"":50.0},""\u0110\u1ec9nh 1M"":{""0"":9570},""\u0110\u1ec9nh 3M"":{""0"":10200},""\u0110\u1ec9nh 1Y"":{""0"":11750},""\u0110\u00e1y 1M"":{""0"":8900},""\u0110\u00e1y 3M"":{""0"":8900},""\u0110\u00e1y 1Y"":{""0"":8900},""%\u0110\u1ec9nh 1Y"":{""0"":-24.2},""%\u0110\u00e1y 1Y"":{""0"":0.1},""P\/E"":{""0"":132.4},""P\/B"":{""0"":0.5},""ROE"":{""0"":0.003412},""TCRating"":{""0"":0.0},""Kh\u1ed1i l\u01b0\u1ee3ng D\u01b0 b\u00e1n"":{""0"":1900},""Kh\u1ed1i l\u01b0\u1ee3ng D\u01b0 mua"":{""0"":400},""TCBS \u0111\u1ecbnh gi\u00e1"":{""0"":21998},""Kh\u1edbp nhi\u1ec1u nh\u1ea5t"":{""0"":8910},""\u0110.g\u00f3p VNINDEX"":{""0"":0.0},""%Gi\u00e1 - %VNI (1M)"":{""0"":-8.3},""%Gi\u00e1 - %VNI (1Y)"":{""0"":-25.5},""VNINDEX P\/E"":{""0"":14.3095},""VNINDEX P\/B"":{""0"":1.61158},""vnid3d"":{""0"":0.7},""vnid1m"":{""0"":3.8},""vnid3m"":{""0"":12.8},""vnid1y"":{""0"":9.0}}",price_board_final,2402041554
AAS,"{""M\u00e3 CP"":{""0"":""AAS""},""Gi\u00e1"":{""0"":8200.0},""KLBD\/TB5D"":{""0"":1.32},""T.\u0111\u1ed9 GD"":{""0"":1.12},""KLGD r\u00f2ng(CM)"":{""0"":0},""%KLGD r\u00f2ng (CM)"":{""0"":0.0},""RSI"":{""0"":38.4556},""MACD Hist"":{""0"":-0.03},""MACD Signal"":{""0"":""Neutral""},""T\u00edn hi\u1ec7u KT"":{""0"":""Buy""},""T\u00edn hi\u1ec7u TB \u0111\u1ed9ng"":{""0"":""Strong Buy""},""MA20"":{""0"":8397.2},""MA50"":{""0"":8465.2},""MA100"":{""0"":8440.7},""Phi\u00ean +\/- "":{""0"":0},""% thay \u0111\u1ed5i gi\u00e1 3D"":{""0"":-1.2},""% thay \u0111\u1ed5i gi\u00e1 1M"":{""0"":-3.5},""% thay \u0111\u1ed5i gi\u00e1 3M"":{""0"":20.6},""% thay \u0111\u1ed5i gi\u00e1 1Y"":{""0"":28.1},""RS 3D"":{""0"":58.0},""RS 1M"":{""0"":22.0},""RS 3M"":{""0"":70.0},""RS 1Y"":{""0"":62.0},""RS TB"":{""0"":53.0},""\u0110\u1ec9nh 1M"":{""0"":8700},""\u0110\u1ec9nh 3M"":{""0"":9000},""\u0110\u1ec9nh 1Y"":{""0"":11460},""\u0110\u00e1y 1M"":{""0"":8200},""\u0110\u00e1y 3M"":{""0"":7300},""\u0110\u00e1y 1Y"":{""0"":5362},""%\u0110\u1ec9nh 1Y"":{""0"":-28.4},""%\u0110\u00e1y 1Y"":{""0"":52.9},""P\/E"":{""0"":21.4},""P\/B"":{""0"":0.8},""ROE"":{""0"":0.044484},""TCRating"":{""0"":2.7},""Kh\u1ed1i l\u01b0\u1ee3ng D\u01b0 b\u00e1n"":{""0"":812000},""Kh\u1ed1i l\u01b0\u1ee3ng D\u01b0 mua"":{""0"":546900},""TCBS \u0111\u1ecbnh gi\u00e1"":{""0"":13362},""Kh\u1edbp nhi\u1ec1u nh\u1ea5t"":{""0"":8200},""\u0110.g\u00f3p VNINDEX"":{""0"":0.0},""%Gi\u00e1 - %VNI (1M)"":{""0"":-7.3},""%Gi\u00e1 - %VNI (1Y)"":{""0"":19.1},""VNINDEX P\/E"":{""0"":14.3095},""VNINDEX P\/B"":{""0"":1.61158},""vnid3d"":{""0"":0.7},""vnid1m"":{""0"":3.8},""vnid3m"":{""0"":12.8},""vnid1y"":{""0"":9.0}}",price_board_final,2402041554
AAA,"{""M\u00e3 CP"":{""0"":""AAA""},""Gi\u00e1"":{""0"":10600.0},""KLBD\/TB5D"":{""0"":0.6},""T.\u0111\u1ed9 GD"":{""0"":1.21},""KLGD r\u00f2ng(CM)"":{""0"":-200000},""%KLGD r\u00f2ng (CM)"":{""0"":-52.1},""RSI"":{""0"":68.0492},""MACD Hist"":{""0"":0.1},""MACD Signal"":{""0"":""Neutral""},""T\u00edn hi\u1ec7u KT"":{""0"":""Neutral""},""T\u00edn hi\u1ec7u TB \u0111\u1ed9ng"":{""0"":""Strong Sell""},""MA20"":{""0"":9848.5},""MA50"":{""0"":9548.4},""MA100"":{""0"":9346.4},""Phi\u00ean +\/- "":{""0"":-1},""% thay \u0111\u1ed5i gi\u00e1 3D"":{""0"":5.0},""% thay \u0111\u1ed5i gi\u00e1 1M"":{""0"":12.2},""% thay \u0111\u1ed5i gi\u00e1 3M"":{""0"":30.9},""% thay \u0111\u1ed5i gi\u00e1 1Y"":{""0"":28.5},""RS 3D"":{""0"":81.0},""RS 1M"":{""0"":89.0},""RS 3M"":{""0"":84.0},""RS 1Y"":{""0"":63.0},""RS TB"":{""0"":79.0},""\u0110\u1ec9nh 1M"":{""0"":10800},""\u0110\u1ec9nh 3M"":{""0"":10800},""\u0110\u1ec9nh 1Y"":{""0"":12450},""\u0110\u00e1y 1M"":{""0"":9400},""\u0110\u00e1y 3M"":{""0"":8600},""\u0110\u00e1y 1Y"":{""0"":7800},""%\u0110\u1ec9nh 1Y"":{""0"":-14.9},""%\u0110\u00e1y 1Y"":{""0"":35.9},""P\/E"":{""0"":14.0},""P\/B"":{""0"":0.8},""ROE"":{""0"":0.053198},""TCRating"":{""0"":2.9},""Kh\u1ed1i l\u01b0\u1ee3ng D\u01b0 b\u00e1n"":{""0"":368600},""Kh\u1ed1i l\u01b0\u1ee3ng D\u01b0 mua"":{""0"":836600},""TCBS \u0111\u1ecbnh gi\u00e1"":{""0"":16735},""Kh\u1edbp nhi\u1ec1u nh\u1ea5t"":{""0"":10650},""\u0110.g\u00f3p VNINDEX"":{""0"":-0.02},""%Gi\u00e1 - %VNI (1M)"":{""0"":8.4},""%Gi\u00e1 - %VNI (1Y)"":{""0"":19.5},""VNINDEX P\/E"":{""0"":14.3095},""VNINDEX P\/B"":{""0"":1.61158},""vnid3d"":{""0"":0.7},""vnid1m"":{""0"":3.8},""vnid3m"":{""0"":12.8},""vnid1y"":{""0"":9.0}}",price_board_final,2402041554
AAT,"{""M\u00e3 CP"":{""0"":""AAT""},""Gi\u00e1"":{""0"":5140.0},""KLBD\/TB5D"":{""0"":0.74},""T.\u0111\u1ed9 GD"":{""0"":1.25},""KLGD r\u00f2ng(CM)"":{""0"":0},""%KLGD r\u00f2ng (CM)"":{""0"":0.0},""RSI"":{""0"":41.3219},""MACD Hist"":{""0"":-0.06},""MACD Signal"":{""0"":""Sell""},""T\u00edn hi\u1ec7u KT"":{""0"":""Neutral""},""T\u00edn hi\u1ec7u TB \u0111\u1ed9ng"":{""0"":""Strong Sell""},""MA20"":{""0"":5373.5},""MA50"":{""0"":5125.2},""MA100"":{""0"":5104.5},""Phi\u00ean +\/- "":{""0"":-4},""% thay \u0111\u1ed5i gi\u00e1 3D"":{""0"":-2.1},""% thay \u0111\u1ed5i gi\u00e1 1M"":{""0"":4.9},""% thay \u0111\u1ed5i gi\u00e1 3M"":{""0"":12.2},""% thay \u0111\u1ed5i gi\u00e1 1Y"":{""0"":2.6},""RS 3D"":{""0"":34.0},""RS 1M"":{""0"":63.0},""RS 3M"":{""0"":14.0},""RS 1Y"":{""0"":15.0},""RS TB"":{""0"":32.0},""\u0110\u1ec9nh 1M"":{""0"":5650},""\u0110\u1ec9nh 3M"":{""0"":5650},""\u0110\u1ec9nh 1Y"":{""0"":6586},""\u0110\u00e1y 1M"":{""0"":5000},""\u0110\u00e1y 3M"":{""0"":4720},""\u0110\u00e1y 1Y"":{""0"":4486},""%\u0110\u1ec9nh 1Y"":{""0"":-22.0},""%\u0110\u00e1y 1Y"":{""0"":14.6},""P\/E"":{""0"":31.1},""P\/B"":{""0"":0.5},""ROE"":{""0"":0.015738},""TCRating"":{""0"":2.2},""Kh\u1ed1i l\u01b0\u1ee3ng D\u01b0 b\u00e1n"":{""0"":2600},""Kh\u1ed1i l\u01b0\u1ee3ng D\u01b0 mua"":{""0"":6900},""TCBS \u0111\u1ecbnh gi\u00e1"":{""0"":7088},""Kh\u1edbp nhi\u1ec1u nh\u1ea5t"":{""0"":5150},""\u0110.g\u00f3p VNINDEX"":{""0"":0.0},""%Gi\u00e1 - %VNI (1M)"":{""0"":1.1},""%Gi\u00e1 - %VNI (1Y)"":{""0"":-6.4},""VNINDEX P\/E"":{""0"":14.3095},""VNINDEX P\/B"":{""0"":1.61158},""vnid3d"":{""0"":0.7},""vnid1m"":{""0"":3.8},""vnid3m"":{""0"":12.8},""vnid1y"":{""0"":9.0}}",price_board_final,2402041554
A32,"{""M\u00e3 CP"":{""0"":""A32""},""Gi\u00e1"":{""0"":47100.0},""KLBD\/TB5D"":{""0"":9.67},""T.\u0111\u1ed9 GD"":{""0"":0.0},""KLGD r\u00f2ng(CM)"":{""0"":0},""%KLGD r\u00f2ng (CM)"":{""0"":0.0},""RSI"":{""0"":85.2151},""MACD Hist"":{""0"":1.24},""MACD Signal"":{""0"":""Buy""},""T\u00edn hi\u1ec7u KT"":{""0"":""Buy""},""T\u00edn hi\u1ec7u TB \u0111\u1ed9ng"":{""0"":""Buy""},""MA20"":{""0"":35059.0},""MA50"":{""0"":32550.3},""MA100"":{""0"":31194.0},""Phi\u00ean +\/- "":{""0"":1},""% thay \u0111\u1ed5i gi\u00e1 3D"":{""0"":14.9},""% thay \u0111\u1ed5i gi\u00e1 1M"":{""0"":57.0},""% thay \u0111\u1ed5i gi\u00e1 3M"":{""0"":66.4},""% thay \u0111\u1ed5i gi\u00e1 1Y"":{""0"":63.5},""RS 3D"":{""0"":0.0},""RS 1M"":{""0"":0.0},""RS 3M"":{""0"":0.0},""RS 1Y"":{""0"":0.0},""RS TB"":{""0"":0.0},""\u0110\u1ec9nh 1M"":{""0"":47100},""\u0110\u1ec9nh 3M"":{""0"":47100},""\u0110\u1ec9nh 1Y"":{""0"":47100},""\u0110\u00e1y 1M"":{""0"":30000},""\u0110\u00e1y 3M"":{""0"":28100},""\u0110\u00e1y 1Y"":{""0"":27131},""%\u0110\u1ec9nh 1Y"":{""0"":0.0},""%\u0110\u00e1y 1Y"":{""0"":73.6},""P\/E"":{""0"":0.0},""P\/B"":{""0"":0.0},""ROE"":{""0"":0.0},""TCRating"":{""0"":0.0},""Kh\u1ed1i l\u01b0\u1ee3ng D\u01b0 b\u00e1n"":{""0"":1000},""Kh\u1ed1i l\u01b0\u1ee3ng D\u01b0 mua"":{""0"":0},""TCBS \u0111\u1ecbnh gi\u00e1"":{""0"":0},""Kh\u1edbp nhi\u1ec1u nh\u1ea5t"":{""0"":47100},""\u0110.g\u00f3p VNINDEX"":{""0"":0.0},""%Gi\u00e1 - %VNI (1M)"":{""0"":53.2},""%Gi\u00e1 - %VNI (1Y)"":{""0"":54.6},""VNINDEX P\/E"":{""0"":14.3095},""VNINDEX P\/B"":{""0"":1.61158},""vnid3d"":{""0"":0.7},""vnid1m"":{""0"":3.8},""vnid3m"":{""0"":12.8},""vnid1y"":{""0"":9.0}}",price_board_final,2402041554
ABI,"{""M\u00e3 CP"":{""0"":""ABI""},""Gi\u00e1"":{""0"":25600.0},""KLBD\/TB5D"":{""0"":0.69},""T.\u0111\u1ed9 GD"":{""0"":0.87},""KLGD r\u00f2ng(CM)"":{""0"":0},""%KLGD r\u00f2ng (CM)"":{""0"":0.0},""RSI"":{""0"":49.1731},""MACD Hist"":{""0"":0.08},""MACD Signal"":{""0"":""Neutral""},""T\u00edn hi\u1ec7u KT"":{""0"":""Buy""},""T\u00edn hi\u1ec7u TB \u0111\u1ed9ng"":{""0"":""Sell""},""MA20"":{""0"":25550.7},""MA50"":{""0"":25648.1},""MA100"":{""0"":26223.6},""Phi\u00ean +\/- "":{""0"":-2},""% thay \u0111\u1ed5i gi\u00e1 3D"":{""0"":-5.9},""% thay \u0111\u1ed5i gi\u00e1 1M"":{""0"":0.0},""% thay \u0111\u1ed5i gi\u00e1 3M"":{""0"":-3.4},""% thay \u0111\u1ed5i gi\u00e1 1Y"":{""0"":9.4},""RS 3D"":{""0"":58.0},""RS 1M"":{""0"":45.0},""RS 3M"":{""0"":8.0},""RS 1Y"":{""0"":40.0},""RS TB"":{""0"":38.0},""\u0110\u1ec9nh 1M"":{""0"":27300},""\u0110\u1ec9nh 3M"":{""0"":27300},""\u0110\u1ec9nh 1Y"":{""0"":30040},""\u0110\u00e1y 1M"":{""0"":24900},""\u0110\u00e1y 3M"":{""0"":23800},""\u0110\u00e1y 1Y"":{""0"":21337},""%\u0110\u1ec9nh 1Y"":{""0"":-14.4},""%\u0110\u00e1y 1Y"":{""0"":20.4},""P\/E"":{""0"":7.4},""P\/B"":{""0"":1.2},""ROE"":{""0"":0.168426},""TCRating"":{""0"":2.6},""Kh\u1ed1i l\u01b0\u1ee3ng D\u01b0 b\u00e1n"":{""0"":40000},""Kh\u1ed1i l\u01b0\u1ee3ng D\u01b0 mua"":{""0"":18100},""TCBS \u0111\u1ecbnh gi\u00e1"":{""0"":54420},""Kh\u1edbp nhi\u1ec1u nh\u1ea5t"":{""0"":25500},""\u0110.g\u00f3p VNINDEX"":{""0"":0.0},""%Gi\u00e1 - %VNI (1M)"":{""0"":-3.8},""%Gi\u00e1 - %VNI (1Y)"":{""0"":0.4},""VNINDEX P\/E"":{""0"":14.3095},""VNINDEX P\/B"":{""0"":1.61158},""vnid3d"":{""0"":0.7},""vnid1m"":{""0"":3.8},""vnid3m"":{""0"":12.8},""vnid1y"":{""0"":9.0}}",price_board_final,2402041554
AAV,"{""M\u00e3 CP"":{""0"":""AAV""},""Gi\u00e1"":{""0"":3700.0},""KLBD\/TB5D"":{""0"":0.72},""T.\u0111\u1ed9 GD"":{""0"":0.2},""KLGD r\u00f2ng(CM)"":{""0"":0},""%KLGD r\u00f2ng (CM)"":{""0"":0.0},""RSI"":{""0"":39.0839},""MACD Hist"":{""0"":-0.01},""MACD Signal"":{""0"":""Sell""},""T\u00edn hi\u1ec7u KT"":{""0"":""Sell""},""T\u00edn hi\u1ec7u TB \u0111\u1ed9ng"":{""0"":""Strong Sell""},""MA20"":{""0"":3890.0},""MA50"":{""0"":4064.0},""MA100"":{""0"":4303.0},""Phi\u00ean +\/- "":{""0"":-1},""% thay \u0111\u1ed5i gi\u00e1 3D"":{""0"":-2.6},""% thay \u0111\u1ed5i gi\u00e1 1M"":{""0"":-9.8},""% thay \u0111\u1ed5i gi\u00e1 3M"":{""0"":-7.5},""% thay \u0111\u1ed5i gi\u00e1 1Y"":{""0"":-30.2},""RS 3D"":{""0"":12.0},""RS 1M"":{""0"":13.0},""RS 3M"":{""0"":2.0},""RS 1Y"":{""0"":17.0},""RS TB"":{""0"":11.0},""\u0110\u1ec9nh 1M"":{""0"":4100},""\u0110\u1ec9nh 3M"":{""0"":4500},""\u0110\u1ec9nh 1Y"":{""0"":7200},""\u0110\u00e1y 1M"":{""0"":3700},""\u0110\u00e1y 3M"":{""0"":3700},""\u0110\u00e1y 1Y"":{""0"":3700},""%\u0110\u1ec9nh 1Y"":{""0"":-48.6},""%\u0110\u00e1y 1Y"":{""0"":0.0},""P\/E"":{""0"":-15.3},""P\/B"":{""0"":0.3},""ROE"":{""0"":-0.022154},""TCRating"":{""0"":2.5},""Kh\u1ed1i l\u01b0\u1ee3ng D\u01b0 b\u00e1n"":{""0"":0},""Kh\u1ed1i l\u01b0\u1ee3ng D\u01b0 mua"":{""0"":1300},""TCBS \u0111\u1ecbnh gi\u00e1"":{""0"":12937},""Kh\u1edbp nhi\u1ec1u nh\u1ea5t"":{""0"":3700},""\u0110.g\u00f3p VNINDEX"":{""0"":-0.01},""%Gi\u00e1 - %VNI (1M)"":{""0"":-13.5},""%Gi\u00e1 - %VNI (1Y)"":{""0"":-39.2},""VNINDEX P\/E"":{""0"":14.3095},""VNINDEX P\/B"":{""0"":1.61158},""vnid3d"":{""0"":0.7},""vnid1m"":{""0"":3.8},""vnid3m"":{""0"":12.8},""vnid1y"":{""0"":9.0}}",price_board_final,2402041554
ABR,"{""M\u00e3 CP"":{""0"":""ABR""},""Gi\u00e1"":{""0"":0.0},""KLBD\/TB5D"":{""0"":0.0},""T.\u0111\u1ed9 GD"":{""0"":0.0},""KLGD r\u00f2ng(CM)"":{""0"":0},""%KLGD r\u00f2ng (CM)"":{""0"":0.0},""RSI"":{""0"":0.0},""MACD Hist"":{""0"":0.0},""MACD Signal"":{""0"":""""},""T\u00edn hi\u1ec7u KT"":{""0"":""""},""T\u00edn hi\u1ec7u TB \u0111\u1ed9ng"":{""0"":""""},""MA20"":{""0"":0.0},""MA50"":{""0"":0.0},""MA100"":{""0"":0.0},""Phi\u00ean +\/- "":{""0"":0},""% thay \u0111\u1ed5i gi\u00e1 3D"":{""0"":-0.4},""% thay \u0111\u1ed5i gi\u00e1 1M"":{""0"":-4.7},""% thay \u0111\u1ed5i gi\u00e1 3M"":{""0"":-24.7},""% thay \u0111\u1ed5i gi\u00e1 1Y"":{""0"":31.0},""RS 3D"":{""0"":96.0},""RS 1M"":{""0"":21.0},""RS 3M"":{""0"":5.0},""RS 1Y"":{""0"":2.0},""RS TB"":{""0"":31.0},""\u0110\u1ec9nh 1M"":{""0"":13950},""\u0110\u1ec9nh 3M"":{""0"":17400},""\u0110\u1ec9nh 1Y"":{""0"":18000},""\u0110\u00e1y 1M"":{""0"":13100},""\u0110\u00e1y 3M"":{""0"":13050},""\u0110\u00e1y 1Y"":{""0"":8710},""%\u0110\u1ec9nh 1Y"":{""0"":-27.2},""%\u0110\u00e1y 1Y"":{""0"":50.4},""P\/E"":{""0"":8.7},""P\/B"":{""0"":0.8},""ROE"":{""0"":0.100493},""TCRating"":{""0"":3.1},""Kh\u1ed1i l\u01b0\u1ee3ng D\u01b0 b\u00e1n"":{""0"":4300},""Kh\u1ed1i l\u01b0\u1ee3ng D\u01b0 mua"":{""0"":3200},""TCBS \u0111\u1ecbnh gi\u00e1"":{""0"":18948},""Kh\u1edbp nhi\u1ec1u nh\u1ea5t"":{""0"":0},""\u0110.g\u00f3p VNINDEX"":{""0"":0.0},""%Gi\u00e1 - %VNI (1M)"":{""0"":-8.5},""%Gi\u00e1 - %VNI (1Y)"":{""0"":22.0},""VNINDEX P\/E"":{""0"":14.3095},""VNINDEX P\/B"":{""0"":1.61158},""vnid3d"":{""0"":0.7},""vnid1m"":{""0"":3.8},""vnid3m"":{""0"":12.8},""vnid1y"":{""0"":9.0}}",price_board_final,2402041554
ABC,"{""M\u00e3 CP"":{""0"":""ABC""},""Gi\u00e1"":{""0"":13200.0},""KLBD\/TB5D"":{""0"":1.11},""T.\u0111\u1ed9 GD"":{""0"":9.93},""KLGD r\u00f2ng(CM)"":{""0"":0},""%KLGD r\u00f2ng (CM)"":{""0"":0.0},""RSI"":{""0"":45.8524},""MACD Hist"":{""0"":-0.05},""MACD Signal"":{""0"":""Neutral""},""T\u00edn hi\u1ec7u KT"":{""0"":""Strong Buy""},""T\u00edn hi\u1ec7u TB \u0111\u1ed9ng"":{""0"":""Strong Buy""},""MA20"":{""0"":13581.2},""MA50"":{""0"":13446.3},""MA100"":{""0"":13656.0},""Phi\u00ean +\/- "":{""0"":-2},""% thay \u0111\u1ed5i gi\u00e1 3D"":{""0"":-3.0},""% thay \u0111\u1ed5i gi\u00e1 1M"":{""0"":-0.8},""% thay \u0111\u1ed5i gi\u00e1 3M"":{""0"":4.0},""% thay \u0111\u1ed5i gi\u00e1 1Y"":{""0"":97.0},""RS 3D"":{""0"":42.0},""RS 1M"":{""0"":21.0},""RS 3M"":{""0"":6.0},""RS 1Y"":{""0"":11.0},""RS TB"":{""0"":20.0},""\u0110\u1ec9nh 1M"":{""0"":14400},""\u0110\u1ec9nh 3M"":{""0"":14400},""\u0110\u1ec9nh 1Y"":{""0"":18036},""\u0110\u00e1y 1M"":{""0"":13000},""\u0110\u00e1y 3M"":{""0"":12300},""\u0110\u00e1y 1Y"":{""0"":6553},""%\u0110\u1ec9nh 1Y"":{""0"":-27.9},""%\u0110\u00e1y 1Y"":{""0"":98.4},""P\/E"":{""0"":0.4},""P\/B"":{""0"":0.6},""ROE"":{""0"":6.79896},""TCRating"":{""0"":3.1},""Kh\u1ed1i l\u01b0\u1ee3ng D\u01b0 b\u00e1n"":{""0"":22700},""Kh\u1ed1i l\u01b0\u1ee3ng D\u01b0 mua"":{""0"":3600},""TCBS \u0111\u1ecbnh gi\u00e1"":{""0"":538974},""Kh\u1edbp nhi\u1ec1u nh\u1ea5t"":{""0"":12900},""\u0110.g\u00f3p VNINDEX"":{""0"":0.0},""%Gi\u00e1 - %VNI (1M)"":{""0"":-4.5},""%Gi\u00e1 - %VNI (1Y)"":{""0"":88.0},""VNINDEX P\/E"":{""0"":14.3095},""VNINDEX P\/B"":{""0"":1.61158},""vnid3d"":{""0"":0.7},""vnid1m"":{""0"":3.8},""vnid3m"":{""0"":12.8},""vnid1y"":{""0"":9.0}}",price_board_final,2402041554
ABB,"{""M\u00e3 CP"":{""0"":""ABB""},""Gi\u00e1"":{""0"":8100.0},""KLBD\/TB5D"":{""0"":0.47},""T.\u0111\u1ed9 GD"":{""0"":0.01},""KLGD r\u00f2ng(CM)"":{""0"":0},""%KLGD r\u00f2ng (CM)"":{""0"":0.0},""RSI"":{""0"":47.0415},""MACD Hist"":{""0"":-0.03},""MACD Signal"":{""0"":""Neutral""},""T\u00edn hi\u1ec7u KT"":{""0"":""Buy""},""T\u00edn hi\u1ec7u TB \u0111\u1ed9ng"":{""0"":""Strong Buy""},""MA20"":{""0"":8223.2},""MA50"":{""0"":8012.6},""MA100"":{""0"":8072.2},""Phi\u00ean +\/- "":{""0"":0},""% thay \u0111\u1ed5i gi\u00e1 3D"":{""0"":0.0},""% thay \u0111\u1ed5i gi\u00e1 1M"":{""0"":2.5},""% thay \u0111\u1ed5i gi\u00e1 3M"":{""0"":8.0},""% thay \u0111\u1ed5i gi\u00e1 1Y"":{""0"":2.5},""RS 3D"":{""0"":58.0},""RS 1M"":{""0"":58.0},""RS 3M"":{""0"":40.0},""RS 1Y"":{""0"":32.0},""RS TB"":{""0"":47.0},""\u0110\u1ec9nh 1M"":{""0"":8500},""\u0110\u1ec9nh 3M"":{""0"":8500},""\u0110\u1ec9nh 1Y"":{""0"":9560},""\u0110\u00e1y 1M"":{""0"":8100},""\u0110\u00e1y 3M"":{""0"":7700},""\u0110\u00e1y 1Y"":{""0"":7091},""%\u0110\u1ec9nh 1Y"":{""0"":-15.3},""%\u0110\u00e1y 1Y"":{""0"":14.2},""P\/E"":{""0"":18.4},""P\/B"":{""0"":0.6},""ROE"":{""0"":0.03421},""TCRating"":{""0"":2.3},""Kh\u1ed1i l\u01b0\u1ee3ng D\u01b0 b\u00e1n"":{""0"":1359100},""Kh\u1ed1i l\u01b0\u1ee3ng D\u01b0 mua"":{""0"":1330900},""TCBS \u0111\u1ecbnh gi\u00e1"":{""0"":11848},""Kh\u1edbp nhi\u1ec1u nh\u1ea5t"":{""0"":8100},""\u0110.g\u00f3p VNINDEX"":{""0"":0.0},""%Gi\u00e1 - %VNI (1M)"":{""0"":-1.2},""%Gi\u00e1 - %VNI (1Y)"":{""0"":-6.4},""VNINDEX P\/E"":{""0"":14.3095},""VNINDEX P\/B"":{""0"":1.61158},""vnid3d"":{""0"":0.7},""vnid1m"":{""0"":3.8},""vnid3m"":{""0"":12.8},""vnid1y"":{""0"":9.0}}",price_board_final,2402041554
