datime,id,ticker,price,priceChange,priceChangeRatio,priceChangeRatio1W,priceChangeRatio1M,eventName,eventCode,notifyDate,exerDate,regFinalDate,exRigthDate,eventDesc,eventNote
2312091722,2563728.0,DC2,4900.0,0.0,0.0,0.0,0.021,"DC2 - Niêm yết bổ sung 359,668 cổ phiếu",AIS,2023-08-02 00:00:00,2023-07-26 00:00:00,1753-01-01 00:00:00,1753-01-01 00:00:00,"<p>Công ty Cổ phần Đầu tư Phát triển - Xây dựng (DIC) số 2 (DC2) niêm yết bổ sung cổ phiếu:<br />
Số lượng cổ phiếu niêm yết bổ sung: 359,668 cổ phiếu<br />
Tổng số lượng cổ phiếu niêm yết: 7,556,341 cổ phiếu<br />
Ngày thay đổi niêm yết có hiệu lực: 26/07/2023<br />
Ngày chính thức giao dịch: 08/08/2023.</p>
",
2312091722,2563217.0,DC2,5143.0,286.0,0.059,0.039,0.2,DC2 - Phát hành cổ phiếu trả cổ tức tỷ lệ 5%,ISS,2023-06-13 00:00:00,2023-06-22 00:00:00,2023-06-23 00:00:00,2023-06-22 00:00:00,"<p>Công ty Cổ phần Đầu tư Phát triển - Xây dựng (DIC) số 2 (DC2) phát hành cổ phiếu trả cổ tức:<br />
Ngày giao dịch không hưởng quyền: 22/06/2023<br />
Ngày đăng ký cuối cùng: 23/06/2023<br />
Tỷ lệ thực hiện: 5%<br />
Số cổ phiếu dự kiến phát hành: 359.833</p>
",
2312091722,2561161.0,DC2,4762.0,190.0,0.042,0.02,-0.107,DC2 - Tổ chức ĐHĐCĐ thường niên 2023,AGME,2023-02-24 00:00:00,2023-04-20 00:00:00,2023-03-15 00:00:00,2023-03-14 00:00:00,"<p>Công ty Cổ phần Đầu tư Phát triển - Xây dựng (DIC) số 2 (DC2) tổ chức ĐHĐCĐ thường niên năm 2023:<br />
Ngày giao dịch không hưởng quyền: 14/03/2023<br />
Ngày đăng ký cuối cùng: 15/03/2023<br />
Thời gian thực hiện: 20/04/2023 13:30<br />
Địa điểm thực hiện: Số 5, Đường số 6, Khu đô thị Chí Linh, Phường Thắng Nhất, Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam;.</p>
",
2312091722,2559298.0,DC2,8286.0,572.0,0.074,0.048,0.012,"DC2 - Niêm yết bổ sung 654,192 cổ phiếu",AIS,2022-07-25 00:00:00,2022-07-08 00:00:00,1753-01-01 00:00:00,1753-01-01 00:00:00,"<p>Công ty Cổ phần Đầu tư Phát triển - Xây dựng (DIC) số 2 (DC2) niêm yết bổ sung cổ phiếu:<br />
Số lượng cổ phiếu niêm yết bổ sung: 654,192 cổ phiếu<br />
Tổng số lượng cổ phiếu niêm yết: 7,196,673 cổ phiếu<br />
Ngày thay đổi niêm yết có hiệu lực: 08/07/2022<br />
Ngày chính thức giao dịch: 29/07/2022.</p>
",
2312091722,2558536.0,DC2,9697.0,86.0,0.009,0.087,-0.118,DC2 - Phát hành cổ phiếu trả cổ tức tỷ lệ 10%,ISS,2022-05-19 00:00:00,2022-05-26 00:00:00,2022-05-27 00:00:00,2022-05-26 00:00:00,"<p>Công ty Cổ phần Đầu tư Phát triển - Xây dựng (DIC) số 2 (DC2) phát hành cổ phiếu trả cổ tức:<br />
Ngày giao dịch không hưởng quyền: 26/05/2022<br />
Ngày đăng ký cuối cùng: 27/05/2022<br />
Tỷ lệ thực hiện: 10%<br />
Số cổ phiếu dự kiến phát hành: 654.248</p>
",
2312091722,2558483.0,DC2,9351.0,433.0,0.049,0.009,-0.212,"DC2 - Niêm yết bổ sung 290,500 cổ phiếu",AIS,2022-05-17 00:00:00,2023-03-01 00:00:00,1753-01-01 00:00:00,1753-01-01 00:00:00,"<p>Công ty Cổ phần Đầu tư Phát triển - Xây dựng (DIC) số 2 (DC2) niêm yết bổ sung cổ phiếu:<br />
Số lượng cổ phiếu niêm yết bổ sung: 290,500 cổ phiếu<br />
Tổng số lượng cổ phiếu niêm yết: 6,542,481 cổ phiếu<br />
Ngày thay đổi niêm yết có hiệu lực: 26/04/2022<br />
Ngày chính thức giao dịch: 01/03/2023.</p>
",
2312091722,2496792.0,DC2,15585.0,953.0,0.065,0.233,0.184,DC2 - Tổ chức ĐHĐCĐ thường niên 2022,AGME,2022-03-01 00:00:00,2022-04-15 00:00:00,2022-03-15 00:00:00,2022-03-14 00:00:00,"<DIV style=""FONT-FAMILY: Arial; FONT-SIZE: 10pt;"">Công ty Cổ phần Đầu tư Phát triển - Xây dựng (DIC) số 2 (DC2)&nbsp;tổ chức ĐHĐCĐ thường niên năm 2022: <BR><BR>Ngày giao dịch không hưởng quyền: &nbsp;14-03-2022 <BR>Ngày đăng ký cuối cùng: 15-03-2022<BR>Thời gian thực hiện: 15-04-2022<BR>Địa điểm thực hiện: Số 5, đường số 6,  khu đô thị Chí Linh, phường Thắng Nhất - Thành phố Vũng Tàu - Tỉnh Bà Rịa - Vũng Tàu </DIV>",
2312091722,2416121.0,DC2,12901.0,87.0,0.007,0.007,0.028,DC2 - Niêm yết bổ sung 2.500.000 cổ phiếu,AIS,2022-01-07 20:09:52,2022-11-21 00:00:00,1753-01-01 00:00:00,1753-01-01 00:00:00,"<DIV style=""FONT-FAMILY: Arial; FONT-SIZE: 10pt;"">&nbsp; Công ty Cổ phần Đầu tư Phát triển - Xây dựng (DIC) số 2 (DC2) niêm yết bổ sung cổ phiếu:<BR>Số lượng cổ phiếu thay đổi niêm yết : 2.500.000 cổ phiếu<BR>Tổng số cổ phiếu niêm yết sau thay đổi: 6.251.981 cổ phiếu<BR>Ngày thay đổi niêm yết có hiệu lực: 28/12/2021<BR>Ngày chính thức giao dịch: 21/11/2022.<?xml:namespace prefix = ""o"" ns = ""urn:schemas-microsoft-com:office:office"" /><o:p></o:p></DIV>",
2312091722,2175030.0,DC2,12364.0,1091.0,0.097,0.079,0.133,DC2 - Niêm yết bổ sung 251.981 cổ phiếu,AIS,2021-09-15 09:03:09,2021-09-20 00:00:00,1753-01-01 00:00:00,1753-01-01 00:00:00,"<DIV style=""FONT-FAMILY: Arial; FONT-SIZE: 10pt;"">&nbsp; Công ty Cổ phần Đầu tư Phát triển - Xây dựng (DIC) số 2 (DC2) niêm yết bổ sung cổ phiếu:<BR>Số lượng cổ phiếu thay đổi niêm yết : 251.981 cổ phiếu<BR>Tổng số cổ phiếu niêm yết sau thay đổi: 3.751.981 cổ phiếu<BR>Ngày thay đổi niêm yết có hiệu lực: 30/08/2021<BR>Ngày chính thức giao dịch: 20/09/2021.<?xml:namespace prefix = ""o"" ns = ""urn:schemas-microsoft-com:office:office"" /><o:p></o:p></DIV>",
2312091722,2165005.0,DC2,11636.0,181.0,0.016,0.041,0.067,DC2 - Niêm yết bổ sung 980.000 cổ phiếu,AIS,2021-09-13 08:40:50,2021-09-20 00:00:00,1753-01-01 00:00:00,1753-01-01 00:00:00,"<DIV style=""FONT-FAMILY: Arial; FONT-SIZE: 10pt;"">&nbsp; Công ty Cổ phần Đầu tư Phát triển - Xây dựng (DIC) số 2 (DC2) niêm yết bổ sung cổ phiếu:<BR>Số lượng cổ phiếu thay đổi niêm yết : 980.000 cổ phiếu<BR>Tổng số cổ phiếu niêm yết sau thay đổi: 3.500.000 cổ phiếu<BR>Ngày thay đổi niêm yết có hiệu lực: 25/08/2021<BR>Ngày chính thức giao dịch: 20/09/2021.<?xml:namespace prefix = ""o"" ns = ""urn:schemas-microsoft-com:office:office"" /><o:p></o:p></DIV>",
