ticker,dealAnnounceDate,dealMethod,dealAction,dealQuantity,dealPrice,dealRatio,datime
CCM,2019-05-23,Cổ đông lớn,Mua,529296.0,22400.0,0.491,2312091722
CCM,2018-11-05,Cổ đông sáng lập,Mua,600000.0,25500.0,0.31,2312091722
CCM,2018-10-24,Cổ đông nội bộ,Bán,-33131.0,17100.0,0.953,2312091722
CCM,2017-06-13,Cổ đông lớn,Bán,-197400.0,21154.0,0.579,2312091722
CCM,2017-06-13,Cổ đông lớn,Mua,869300.0,21154.0,0.579,2312091722
CCM,2017-06-13,Cổ đông nội bộ,Bán,-427300.0,21154.0,0.579,2312091722
CCM,2013-08-23,Cổ đông nội bộ,Bán,-100000.0,,,2312091722
CCM,2013-06-24,Cổ đông lớn,Mua,32600.0,,,2312091722
CCM,2013-06-24,Cổ đông lớn,Bán,-39200.0,,,2312091722
CCM,2012-07-30,Cổ đông lớn,Bán,0.0,,,2312091722
CCM,2012-07-30,Cổ đông lớn,Mua,20700.0,,,2312091722
CCM,2012-06-26,Cổ đông lớn,Mua,11500.0,,,2312091722
CCM,2012-05-23,Cổ đông lớn,Mua,66900.0,,,2312091722
CCM,2012-05-23,Cổ đông lớn,Bán,-4300.0,,,2312091722
CCM,2012-04-24,Cổ đông lớn,Mua,444300.0,,,2312091722
CCM,2010-08-09,Cổ đông lớn,Bán,-275000.0,,,2312091722
CCM,2010-06-22,Cổ đông nội bộ,Bán,-56700.0,,,2312091722
CCM,2010-06-04,Cổ đông nội bộ,Mua,0.0,,,2312091722
CCM,2010-05-18,Cổ đông nội bộ,Bán,-2000.0,,,2312091722
CCM,2010-05-04,Cổ đông lớn,Bán,-210000.0,,,2312091722
CCR,2021-09-08,Cổ đông nội bộ,Bán,-6500.0,23800.0,-0.534,2312091722
CCR,2021-09-08,Cổ đông nội bộ,Bán,-3100.0,23800.0,-0.534,2312091722
CCR,2021-09-08,Cổ đông sáng lập,Bán,-2300.0,23800.0,-0.534,2312091722
CCR,2021-09-08,Cổ đông sáng lập,Bán,-1400.0,23800.0,-0.534,2312091722
CCR,2021-08-25,Cổ đông nội bộ,Bán,-16200.0,23000.0,-0.517,2312091722
CCR,2021-08-19,Cổ đông lớn,Bán,0.0,24800.0,-0.552,2312091722
CDH,2020-11-02,Cổ đông nội bộ,Mua,2228.0,2600.0,-0.192,2312091722
CDH,2020-05-13,Cổ đông nội bộ,Mua,5313.0,1800.0,0.167,2312091722
CDH,2019-10-21,Cổ đông nội bộ,Mua,7069.0,1300.0,0.615,2312091722
CDH,2019-04-19,Cổ đông nội bộ,Mua,1000.0,2100.0,0.0,2312091722
CDJC,2022-11-11,Cổ đông sáng lập,Mua,6597.0,,,2312091722
CDJC,2022-09-13,Cổ đông sáng lập,Mua,707.0,,,2312091722
CDJC,2022-09-13,Cổ đông nội bộ,Mua,4502.0,,,2312091722
CDJC,2020-11-02,Cổ đông nội bộ,Mua,6347.0,,,2312091722
CDJC,2020-09-28,Cổ đông nội bộ,Mua,5329.0,,,2312091722
CDJC,2020-04-27,Cổ đông lớn,Mua,55000.0,,,2312091722
CDJC,2019-12-03,Cổ đông nội bộ,Bán,-55000.0,,,2312091722
CDJC,2019-12-02,Cổ đông nội bộ,Bán,-20000.0,,,2312091722
CDJC,2019-10-22,Cổ đông nội bộ,Bán,-50000.0,,,2312091722
CDJC,2019-10-22,Cổ đông nội bộ,Mua,20000.0,,,2312091722
CDJC,2019-10-14,Cổ đông nội bộ,Bán,0.0,,,2312091722
CDJC,2019-10-09,Cổ đông nội bộ,Mua,1722.0,,,2312091722
CDJC,2019-04-11,Cổ đông nội bộ,Bán,-30000.0,,,2312091722
CDJC,2019-04-08,Cổ đông nội bộ,Mua,30000.0,,,2312091722
CDJC,2018-11-05,Cổ đông nội bộ,Mua,1015.0,,,2312091722
CDJC,2018-10-30,Cổ đông nội bộ,Mua,506.0,,,2312091722
CDJC,2018-10-30,Cổ đông nội bộ,Mua,251.0,,,2312091722
CDJC,2018-10-29,Cổ đông nội bộ,Mua,1990.0,,,2312091722
CDJC,2018-09-18,Cổ đông nội bộ,Mua,2053.0,,,2312091722
CDJC,2018-08-13,Cổ đông nội bộ,Mua,18225.0,,,2312091722
CDC,2023-07-21,Cổ đông lớn,Bán,-1321400.0,18100.0,0.108,2312091722
CDC,2023-05-17,Cổ đông lớn,Bán,-722600.0,18900.0,0.061,2312091722
CDC,2022-05-05,Cổ đông nội bộ,Bán,0.0,16700.0,0.201,2312091722
CDC,2022-05-04,Cổ đông lớn,Bán,0.0,16950.0,0.183,2312091722
CDC,2022-04-15,Cổ đông nội bộ,Bán,-949000.0,16800.0,0.193,2312091722
CDC,2022-03-25,Cổ đông lớn,Mua,1162000.0,16550.0,0.211,2312091722
CDC,2021-10-25,Cổ đông sáng lập,Bán,-612879.0,15500.0,0.294,2312091722
CDC,2021-07-20,Cổ đông nội bộ,Bán,-150000.0,13900.0,0.442,2312091722
CDC,2021-07-19,Cổ đông nội bộ,Bán,-228500.0,14000.0,0.432,2312091722
CDC,2021-07-06,Cổ đông lớn,Bán,-1680000.0,13700.0,0.464,2312091722
CDC,2021-04-23,Cổ đông nội bộ,Bán,-348109.0,15500.0,0.294,2312091722
CDC,2021-04-23,Cổ đông sáng lập,Bán,-24360.0,15500.0,0.294,2312091722
CDC,2021-03-16,Cổ đông nội bộ,Bán,0.0,16100.0,0.245,2312091722
CDC,2021-03-16,Cổ đông sáng lập,Bán,0.0,16100.0,0.245,2312091722
CDC,2021-02-02,Cổ đông sáng lập,Bán,-60900.0,15800.0,0.269,2312091722
CDC,2021-02-02,Cổ đông nội bộ,Bán,-870273.0,15800.0,0.269,2312091722
CDC,2020-12-30,Cổ đông lớn,Mua,1200000.0,18400.0,0.09,2312091722
CDC,2020-12-25,Cổ đông sáng lập,Bán,-985006.0,20050.0,0.0,2312091722
CDC,2020-12-25,Cổ đông sáng lập,Bán,-722170.0,20050.0,0.0,2312091722
CDC,2020-12-25,Cổ đông sáng lập,Bán,-500000.0,20050.0,0.0,2312091722
VCCEC,2022-11-08,Cổ đông lớn,Mua,30000.0,,,2312091722
VCCEC,2022-01-17,Cổ đông nội bộ,Bán,-30000.0,,,2312091722
VCCEC,2021-11-29,Cổ đông nội bộ,Mua,0.0,,,2312091722
VCCEC,2021-04-26,Cổ đông nội bộ,Mua,48070.0,,,2312091722
VCCEC,2021-01-04,Cổ đông nội bộ,Mua,2432.0,,,2312091722
VCCEC,2018-12-26,Cổ đông nội bộ,Bán,-27300.0,,,2312091722
VCCEC,2018-07-09,Cổ đông nội bộ,Mua,15598.0,,,2312091722
VCCEC,2018-05-31,Cổ đông nội bộ,Mua,0.0,,,2312091722
VCCEC,2018-05-02,Cổ đông nội bộ,Mua,0.0,,,2312091722
VCCEC,2018-03-28,Cổ đông nội bộ,Mua,9342.0,,,2312091722
VCCEC,2018-03-22,Cổ đông nội bộ,Mua,4607.0,,,2312091722
VCCEC,2018-02-27,Cổ đông nội bộ,Mua,0.0,,,2312091722
VCCEC,2018-01-16,Cổ đông nội bộ,Mua,28499.0,,,2312091722
VCCEC,2018-01-10,Cổ đông sáng lập,Bán,-14469.0,,,2312091722
CODUPHA,2023-06-26,Cổ đông lớn,Bán,-756950.0,,,2312091722
CODUPHA,2023-02-06,Cổ đông lớn,Bán,0.0,,,2312091722
CODUPHA,2021-09-24,Cổ đông sáng lập,Bán,-200000.0,,,2312091722
CODUPHA,2021-09-24,Cổ đông sáng lập,Bán,-50000.0,,,2312091722
CODUPHA,2021-09-22,Cổ đông nội bộ,Bán,-80900.0,,,2312091722
CODUPHA,2021-08-18,Cổ đông sáng lập,Bán,0.0,,,2312091722
CODUPHA,2021-08-13,Cổ đông nội bộ,Bán,0.0,,,2312091722
CODUPHA,2021-07-06,Cổ đông nội bộ,Bán,-21000.0,,,2312091722
CODUPHA,2021-07-06,Cổ đông sáng lập,Bán,0.0,,,2312091722
CODUPHA,2018-08-17,Cổ đông nội bộ,Bán,0.0,,,2312091722
CODUPHA,2018-08-17,Cổ đông nội bộ,Bán,0.0,,,2312091722
CEO,2023-08-31,Cổ đông nội bộ,Mua,9800.0,26100.0,-0.103,2312091722
CEO,2023-08-31,Cổ đông nội bộ,Mua,49034.0,26100.0,-0.103,2312091722
CEO,2023-08-31,Cổ đông nội bộ,Mua,77420.0,26100.0,-0.103,2312091722
CEO,2023-08-31,Cổ đông nội bộ,Mua,1051050.0,26100.0,-0.103,2312091722
CEO,2023-08-31,Cổ đông nội bộ,Mua,26590000.0,26100.0,-0.103,2312091722
CEO,2022-07-12,Cổ đông sáng lập,Bán,-18300.0,22431.0,0.043,2312091722
CEO,2022-02-28,Cổ đông sáng lập,Bán,-2697770.0,49124.0,-0.524,2312091722
CEO,2022-01-19,Cổ đông nội bộ,Bán,-28350.0,38806.0,-0.397,2312091722
CEO,2022-01-13,Cổ đông nội bộ,Bán,-8750.0,55554.0,-0.579,2312091722
CEO,2022-01-13,Cổ đông nội bộ,Bán,-8000.0,55554.0,-0.579,2312091722
CEO,2022-01-07,Cổ đông lớn,Bán,-3000000.0,69162.0,-0.662,2312091722
CEO,2022-01-06,Cổ đông lớn,Bán,-4000000.0,64601.0,-0.638,2312091722
CEO,2022-01-05,Cổ đông nội bộ,Bán,-150000.0,64003.0,-0.634,2312091722
CEO,2021-12-31,Cổ đông lớn,Bán,-5000000.0,53012.0,-0.559,2312091722
CEO,2021-12-30,Cổ đông lớn,Bán,-3000000.0,52862.0,-0.557,2312091722
