ticker,shareHolder_OwnPercent,datime
SHG,"[{'Bộ Xây Dựng': 0.4904}, {'Phạm Thị Phương Thúy': 0.1106}, {'Trần Thị Thanh Hà': 0.0956}, {'Đặng Tiên Phong': 0.0111}, {'Phùng Quang Hải': 0.0011}, {'Phạm Văn Nghĩa': 0.0007}, {'Mai Văn Đông': 0.0007}, {'Nguyễn Văn Hiến': 0.0005}, {'Phan Việt Anh': 0.0004}, {'Khác': 0.0001}]",2312091655
SHI,"[{'Lê Vĩnh Sơn': 0.1072}, {'Nguyễn Thị Hoa': 0.0963}, {'Công ty TNHH MTV Sản xuất Đầu tư và Phát triển Hoàng Hà': 0.0776}, {'Lê Phương Trang': 0.0632}, {'Phạm Anh Tuấn': 0.0598}, {'Đinh Văn Mạnh': 0.0552}, {'Đặng Hồng Nhung': 0.0501}, {'Dương Đình Lương': 0.0497}, {'Trần Đa Linh': 0.0497}, {'Khác': 0.4263}]",2312091655
SHE,"[{'Công ty Cổ phần Quốc tế Sơn Hà': 0.5037}, {'HOÀNG MẠNH TÂN': 0.1139}, {'Công ty TNHH MTV Quản Lý Quỹ Ngân Hàng Thương Mại Cổ phần Công Thương Việt Nam': 0.0976}, {'Đàm Quang Hùng': 0.05}, {'Trần Anh Tuấn': 0.0147}, {'Nguyễn Bá Thị Hợp': 0.0056}, {'ĐINH ĐỨC TUẤN': 0.0015}]",2312091655
SHP,"[{'Tổng Công Ty Điện Lực Miền Nam TNHH': 0.4886}, {'Công ty Cổ phần Cơ điện Lạnh': 0.1109}, {""Công ty Cổ Phần Thủy Điện Đắk R'tíh"": 0.1033}, {'Samarang UCITS - Samarang Asian Prosperity': 0.051}, {'Nguyễn Văn Thịnh': 0.0044}, {'Nguyễn Vĩnh Châu': 0.0005}, {'Võ Thái': 0.0005}, {'Nguyễn Thành Duy': 0.0004}, {'Hoàng Minh Dũng': 0.0002}, {'Khác': 0.0007}]",2312091655
SHN,"[{'Nguyễn Văn Anh': 0.0608}, {'VŨ VĂN TIỀN': 0.0476}, {'Đào Mạnh Kháng': 0.0466}, {'Đào Mạnh Kháng': 0.0466}, {'Trần Tiến Hải': 0.043}, {'CHU VĂN MÂN': 0.0416}, {'Trần Văn Minh': 0.0386}, {'Nguyễn Thanh Sơn': 0.0052}, {'Đỗ Khắc Lập': 0.0003}, {'Khác': 0.0294}]",2312091655
SHS,"[{'Công ty Cổ phần Tập đoàn T&T': 0.056}, {'VŨ ĐỨC TIẾN': 0.0247}, {'Bùi Minh Lực': 0.0155}, {'Nguyễn Duy Kiên': 0.0115}, {'Đỗ Quang Vinh': 0.0092}, {'Nguyễn Thị Hiền': 0.0057}, {'Đỗ Quang Hiển': 0.0054}, {'Bùi Quanh Minh': 0.0042}, {'VŨ ĐỨC TRUNG': 0.0033}, {'Khác': 0.171}]",2312091655
SID,"[{'Liên Hiệp Hợp Tác Xã Thương Mại Tp. Hồ Chí Minh': 0.9609}, {'Khác': 0.0001}]",2312091655
SIG,"[{'PHAN ĐÌNH TOẠI': 0.648}, {'Nguyễn Khắc Sơn': 0.1769}, {'NGUYỄN BÁ VIỆN': 0.0059}, {'Lương Mạnh Hùng': 0.0012}, {'Khác': 0.0}]",2312091655
SII,"[{'Manila Water South Asia Holdings Pte. Ltd.': 0.38}, {'Công ty Cổ phần Đầu tư Ngành nước DNP': 0.19}, {'Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh': 0.1236}, {'VIAC (No. 1) Limited Partnership': 0.109}, {'Mai Thanh Trúc': 0.0171}, {'TRƯƠNG KHẮC HOÀNH': 0.0004}, {'Giao Thị Yến': 0.0003}, {'Vũ Thị Thủy': 0.0002}, {'Nguyễn Thị Tuyết Nhung': 0.0002}, {'Khác': 0.0001}]",2312091655
SIP,"[{'Công ty Cổ Phần Đầu Tư Và Phát Triển Đô Thị An Lộc': 0.195}, {'Trần Mạnh Hùng': 0.1027}, {'Trần Mạnh Hùng': 0.0962}, {'Công ty Cổ phần Khu Công nghiệp Nam Tân Uyên': 0.0886}, {'Lư Thanh Nhã': 0.0752}, {'Lư Thanh Nhã': 0.0717}, {'Trần Ngọc Xuân Trang': 0.0485}, {'Phạm Hồng Hải': 0.0219}, {'Phạm Thị Hồng Hạnh': 0.0218}, {'Khác': 0.0827}]",2312091655
