ticker,exchange,industry,companyType,noShareholders,foreignPercent,outstandingShare,issueShare,establishedYear,noEmployees,stockRating,deltaInWeek,deltaInMonth,deltaInYear,shortName,industryEn,industryID,industryIDv2,website,datime
GVT,UPCOM,Tài nguyên Cơ bản,CT,574,0.0,11.6,11.6,2008.0,461,2.7,-0.087,-0.069,-0.321,Giấy Việt Trì,Basic Resources,156,1737,http://www.giayviettri.com,2312091655
GVR,HOSE,Hóa chất,CT,0,0.003,4000.0,4000.0,2010.0,224,2.7,-0.025,0.065,0.378,Tập đoàn CN Cao su VN,Chemicals,150,1353,https://vnrubbergroup.com,2312091655
GTS,UPCOM,Xây dựng và Vật liệu,CT,638,0.002,28.5,28.5,2010.0,490,2.7,-0.02,-0.041,-0.005,Công trình Giao thông Sài Gòn,Construction & Materials,181,2357,http://www.giaothongsaigon.com.vn,2312091655
GTT,UPCOM,Du lịch và Giải trí,CT,1849,0.001,43.5,43.5,1985.0,5,,-0.27,-0.441,-0.652,Thuận Thảo Group,Travel & Leisure,260,5755,http://www.thuanthao.com.vn,2312091655
H11,UPCOM,Xây dựng và Vật liệu,CT,183,0.002,1.1,1.1,2007.0,37,,-0.048,-0.143,0.193,Xây dựng HUD101,Construction & Materials,181,2357,http://www.hud101.vn,2312091655
HAC,UPCOM,Dịch vụ tài chính,CK,0,0.006,29.2,29.2,2015.0,45,2.1,0.091,-0.041,0.618,Chứng khoán Hải Phòng,Financial Services,300,8777,https://haseco.vn,2312091655
HAD,HNX,Thực phẩm và đồ uống,CT,688,0.128,4.0,4.0,2003.0,153,,-0.02,0.018,0.21,Bia Hà Nội - Hải Dương,Food & Beverage,214,3533,http://habecohd.com.vn,2312091655
HAF,UPCOM,Thực phẩm và đồ uống,CT,0,0.0,14.5,14.5,2005.0,63,2.8,0.036,0.028,-0.125,Thực phẩm Hà Nội,Food & Beverage,218,3577,http://thucphamhanoi.com.vn,2312091655
HAH,HOSE,Hàng & Dịch vụ Công nghiệp,CT,13111,0.039,105.5,105.5,2009.0,577,3.4,-0.024,0.093,0.536,Vận tải và Xếp dỡ Hải An,Industrial Goods & Services,193,2777,https://haiants.vn,2312091655
HAG,HOSE,Thực phẩm và đồ uống,CT,54114,0.029,927.4,927.5,2006.0,2084,2.6,0.009,0.409,0.243,Hoàng Anh Gia Lai,Food & Beverage,217,3573,http://www.hagl.com.vn,2312091655
HAM,UPCOM,Xây dựng và Vật liệu,CT,229,0.0,9.6,9.3,2003.0,719,,-0.02,-0.017,0.496,Vật tư Hậu Giang,Construction & Materials,180,2353,http://hamaco.vn,2312091655
HAN,UPCOM,Xây dựng và Vật liệu,CT,388,0.0,141.0,141.0,1996.0,193,2.2,-0.02,-0.021,0.378,Xây dựng Hà Nội,Construction & Materials,181,2357,https://www.hancorp.vn,2312091655
HAI,UPCOM,Hóa chất,CT,8365,0.012,182.7,182.7,2005.0,140,2.2,-0.02,-0.041,-0.131,Nông Dược HAI,Chemicals,151,1357,http://www.congtyhai.com,2312091655
HAP,HOSE,Tài nguyên Cơ bản,CT,8771,0.023,110.9,111.1,1999.0,680,2.7,-0.012,-0.021,0.04,Tập đoàn Hapaco,Basic Resources,156,1737,https://hapaco.vn,2312091655
HAR,HOSE,Bất động sản,CT,9423,0.001,95.7,101.4,2007.0,7,2.5,0.069,0.069,0.042,BĐS An Dương Thảo Điền,Real Estate,336,8633,http://www.adtdgroup.com,2312091655
HAS,HOSE,Xây dựng và Vật liệu,CT,1529,0.156,7.8,8.0,2001.0,89,2.4,0.108,0.068,-0.111,Hacisco,Construction & Materials,181,2357,https://has.vn,2312091655
HAX,HOSE,Ô tô và phụ tùng,CT,6546,0.151,93.4,93.4,2000.0,914,2.5,0.02,-0.008,0.005,Ô tô Hàng Xanh,Automobiles & Parts,211,3353,http://www.haxaco.com.vn,2312091655
HAT,HNX,Thực phẩm và đồ uống,CT,0,0.034,3.1,3.1,2006.0,87,,-0.042,0.121,0.854,TM Bia Hà Nội,Food & Beverage,214,3533,http://www.biahoihanoi.com.vn,2312091655
HBC,HOSE,Xây dựng và Vật liệu,CT,19799,0.144,274.1,274.1,2000.0,5040,2.1,-0.006,0.086,-0.242,Tập đoàn Xây dựng Hòa Bình,Construction & Materials,181,2357,https://hbcg.vn,2312091655
HBD,UPCOM,Hàng & Dịch vụ Công nghiệp,CT,262,0.005,1.9,2.0,2002.0,7,2.6,-0.02,0.254,0.136,Bao bì PP Bình Dương,Industrial Goods & Services,184,2723,http://www.haipacbd.com,2312091655
HAV,UPCOM,Thực phẩm và đồ uống,CT,232,0.0,3.3,3.3,2007.0,5,,-0.085,-0.188,-0.08,Rượu Hapro,Food & Beverage,215,3535,http://www.haprovodka.vn,2312091655
HBH,UPCOM,Thực phẩm và đồ uống,CT,187,0.021,16.0,16.0,2007.0,76,,-0.02,0.12,-0.165,HABECO Hải Phòng,Food & Beverage,214,3533,https://habecohaiphong.com.vn,2312091655
HBS,HNX,Dịch vụ tài chính,CK,0,0.001,33.0,33.0,2008.0,32,2.6,-0.008,0.098,0.467,Chứng khoán Hòa Bình,Financial Services,300,8777,http://www.hbse.com.vn,2312091655
HC3,UPCOM,Xây dựng và Vật liệu,CT,333,0.004,20.7,20.7,2002.0,112,2.5,-0.02,0.163,-0.004,Xây dựng số 3 Hải Phòng,Construction & Materials,181,2357,http://haco3.com.vn,2312091655
HC1,UPCOM,Xây dựng và Vật liệu,CT,208,0.0,8.0,8.0,2013.0,240,,-0.231,-0.252,-0.554,Xây dựng số 1 Hà Nội,Construction & Materials,181,2357,http://hacc1.com.vn,2312091655
HCC,HNX,Xây dựng và Vật liệu,CT,520,0.123,6.5,6.5,2001.0,181,,0.0,0.011,0.165,Bê tông Hòa Cầm,Construction & Materials,180,2353,http://www.betonghoacam.com.vn,2312091655
HCB,UPCOM,Hàng cá nhân & Gia dụng,CT,381,0.0,5.2,5.2,2007.0,3408,,-0.02,-0.041,0.242,Dệt may 29/3,Personal & Household Goods,226,3763,http://www.hachiba.com.vn,2312091655
